Mr Bates thinks the disappearance of November's protest vote could tip the scales his way.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	tip the scales	figurative	identical	PROPN PROPN VERB DET NOUN ADP PROPN NOUN NOUN VERB VERB DET NOUN ADJ NOUN	▁Mr ▁B ates ▁thinks ▁the ▁disappearance ▁of ▁November ' s ▁protest ▁vote ▁could ▁tip ▁the ▁scales ▁his ▁way .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	PROPN PROPN PROPN VERB DET NOUN ADP PROPN PROPN PROPN NOUN NOUN VERB VERB DET NOUN ADJ NOUN NOUN
Alternatively, Ho may simply have been waiting for something to turn up, something that would tip the scales one way or the other in the situation that was neither peace nor war.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tip the scales	figurative	identical	ADV PROPN VERB ADV VERB VERB VERB ADP NOUN PART VERB PART NOUN ADJ VERB VERB DET NOUN NUM NOUN CCONJ DET ADJ ADP DET NOUN ADJ VERB CCONJ NOUN CCONJ NOUN	▁Alternatively , ▁Ho ▁may ▁simply ▁have ▁been ▁waiting ▁for ▁something ▁to ▁turn ▁up , ▁something ▁that ▁would ▁tip ▁the ▁scales ▁one ▁way ▁or ▁the ▁other ▁in ▁the ▁situation ▁that ▁was ▁neither ▁peace ▁nor ▁war .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PROPN VERB ADV VERB VERB VERB ADP NOUN PART VERB PART PART NOUN ADJ VERB VERB DET NOUN NUM NOUN CCONJ DET ADJ ADP DET NOUN ADJ VERB CCONJ NOUN CCONJ NOUN NOUN
They did this by tipping the scales in favour of antibody production — identifying and removing those cells known to suppress antibody production.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tip the scales	figurative	inflection	PRON VERB DET ADP VERB DET NOUN ADP NOUN ADP ADJ NOUN PUNCT VERB CCONJ VERB DET NOUN VERB PART VERB NOUN NOUN	▁They ▁did ▁this ▁by ▁t ipping ▁the ▁scales ▁in ▁favour ▁of ▁antibody ▁production ▁ — ▁identifying ▁and ▁removing ▁those ▁cells ▁known ▁to ▁suppress ▁antibody ▁production .	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADP VERB VERB DET NOUN ADP NOUN ADP ADJ NOUN PUNCT PUNCT VERB CCONJ VERB DET NOUN VERB PART VERB NOUN NOUN NOUN
In our view, this tips the scales against Chrissie, though we recognize that there is room for argument here.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	tip the scales	figurative	inflection	ADP ADJ NOUN DET VERB DET NOUN ADP PROPN ADP PRON VERB ADP ADV VERB NOUN ADP NOUN ADV	▁In ▁our ▁view , ▁this ▁tip s ▁the ▁scales ▁against ▁Chr issi e , ▁though ▁we ▁recognize ▁that ▁there ▁is ▁room ▁for ▁argument ▁here .	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN NOUN DET VERB VERB DET NOUN ADP PROPN PROPN PROPN PROPN ADP PRON VERB ADP ADV VERB NOUN ADP NOUN ADV ADV
When she hesitated, hardly knowing what to say, he tipped the scales by proposing briskly, ‘ Perhaps we should get down to business.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	tip the scales	figurative	inflection	ADV PRON VERB ADV VERB NOUN PART VERB PRON VERB DET NOUN ADP VERB ADV PUNCT ADV PRON VERB VERB PART ADP NOUN	▁When ▁she ▁hesitate d , ▁hardly ▁knowing ▁what ▁to ▁say , ▁he ▁ tipped ▁the ▁scales ▁by ▁proposing ▁b risk ly , ▁ ‘ ▁Perhaps ▁we ▁should ▁get ▁down ▁to ▁business .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB VERB VERB ADV VERB NOUN PART VERB VERB PRON VERB VERB DET NOUN ADP VERB ADV ADV ADV ADV PUNCT PUNCT ADV PRON VERB VERB PART ADP NOUN NOUN
During the fighting around the hotel, sergeant Johnny Dowling and Sergeant Cork of No.1 Troop went to find the tank known to be nearby, for had this been brought into action, its 12 tons or more could have tipped the scales against the commandos.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	tip the scales	figurative	inflection	ADP DET NOUN ADP DET NOUN NOUN PROPN PROPN CCONJ PROPN PROPN ADP PROPN PROPN VERB PART VERB DET NOUN VERB PART VERB ADV ADP VERB DET VERB VERB ADP NOUN ADJ NUM NOUN CCONJ ADJ VERB VERB VERB DET NOUN ADP DET NOUN	▁Dur ing ▁the ▁fighting ▁around ▁the ▁hotel , ▁ser ge ant ▁John ny ▁D owl ing ▁and ▁Ser ge ant ▁Cork ▁of ▁No .1 ▁Tro op ▁went ▁to ▁find ▁the ▁tank ▁known ▁to ▁be ▁nearby , ▁for ▁had ▁this ▁been ▁brought ▁into ▁action , ▁its ▁12 ▁tons ▁or ▁more ▁could ▁have ▁ tipped ▁the ▁scales ▁against ▁the ▁command os .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	ADP ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN VERB PART VERB DET NOUN VERB PART VERB ADV ADV ADP VERB DET VERB VERB ADP NOUN NOUN ADJ NUM NOUN CCONJ ADJ VERB VERB VERB VERB DET NOUN ADP DET NOUN NOUN NOUN
This year world population tipped the scales at five billion.	0 0 0 0 1 0 1 0 0 0	tip the scales	figurative	inflection	DET NOUN NOUN NOUN VERB DET NOUN ADP NUM NUM	▁This ▁year ▁world ▁population ▁ tipped ▁the ▁scales ▁at ▁five ▁billion .	0 0 0 0 1 1 0 1 0 0 0 0	DET NOUN NOUN NOUN VERB VERB DET NOUN ADP NUM NUM NUM
The benefits of an intuitive, multi - media, multi - tasking operating system will be what tips the scales — not whether the applications themselves are prettier or faster.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	tip the scales	figurative	inflection	DET NOUN ADP DET ADJ ADJ PUNCT NOUN ADJ PUNCT VERB NOUN NOUN VERB VERB NOUN NOUN DET NOUN PUNCT ADV ADP DET NOUN PRON VERB ADJ CCONJ ADV	▁The ▁benefits ▁of ▁an ▁in t uit ive , ▁multi ▁- ▁media , ▁multi ▁- ▁task ing ▁operating ▁system ▁will ▁be ▁what ▁tip s ▁the ▁scales ▁ — ▁not ▁whether ▁the ▁applications ▁themselves ▁are ▁p retti er ▁or ▁faster .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP DET ADJ ADJ ADJ ADJ ADJ ADJ PUNCT NOUN NOUN ADJ PUNCT VERB VERB NOUN NOUN VERB VERB NOUN NOUN NOUN DET NOUN PUNCT PUNCT ADV ADP DET NOUN PRON VERB ADJ ADJ ADJ CCONJ ADV ADV
Our postman looks as if he tips the scales at about twenty stone.’	0 0 0 0 0 0 1 0 1 0 0 0 0	tip the scales	figurative	inflection	ADJ NOUN VERB ADP ADP PRON VERB DET NOUN ADP ADP NUM PUNCT	▁Our ▁post man ▁looks ▁as ▁if ▁he ▁tip s ▁the ▁scales ▁at ▁about ▁twenty ▁stone . ’	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	ADJ NOUN NOUN VERB ADP ADP PRON VERB VERB DET NOUN ADP ADP NUM PUNCT PUNCT PUNCT
Reports claimed that the elfin figured star's weight plunged terrifyingly until she tipped the scales at a mere five stones.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	tip the scales	figurative	inflection	NOUN VERB ADP DET ADJ ADJ NOUN NOUN VERB ADV ADP PRON VERB DET NOUN ADP DET ADJ NUM NOUN	▁Reports ▁claimed ▁that ▁the ▁el fin ▁figure d ▁star ' s ▁weight ▁plunge d ▁terr ifying ly ▁until ▁she ▁ tipped ▁the ▁scales ▁at ▁a ▁mere ▁five ▁stones .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	NOUN VERB ADP DET ADJ ADJ ADJ ADJ NOUN NOUN NOUN NOUN VERB VERB ADV ADV ADV ADP PRON VERB VERB DET NOUN ADP DET ADJ NUM NOUN NOUN
Tipping the scales at just over 3.5lbs this metal cased keyboard seemed to be a solid prospect.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tip the scales	figurative	combined-inflection	VERB DET NOUN ADP ADV ADP NOUN DET NOUN ADJ NOUN VERB PART VERB DET ADJ NOUN	▁T ipping ▁the ▁scales ▁at ▁just ▁over ▁3.5 l b s ▁this ▁metal ▁case d ▁keyboard ▁seemed ▁to ▁be ▁a ▁solid ▁prospect .	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET NOUN ADP ADV ADP NOUN NOUN NOUN NOUN DET NOUN ADJ ADJ NOUN VERB PART VERB DET ADJ NOUN NOUN
