Murray said : ‘ Jones has worked hard at his game and has progressed by leaps and bounds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	by leaps and bounds	figurative	identical	PROPN VERB PUNCT PUNCT PROPN VERB VERB ADV ADP ADJ NOUN CCONJ VERB VERB ADP NOUN CCONJ NOUN	▁Mur ray ▁said ▁ : ▁ ‘ ▁Jones ▁has ▁worked ▁hard ▁at ▁his ▁game ▁and ▁has ▁progress ed ▁by ▁leap s ▁and ▁bound s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT PROPN VERB VERB ADV ADP ADJ NOUN CCONJ VERB VERB VERB ADP NOUN NOUN CCONJ NOUN NOUN NOUN
Tina Dicks, whose son Thomas, aged six, attends the school, said : ‘ My little boy is extremely happy there and is coming on by leaps and bounds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	by leaps and bounds	figurative	identical	PROPN PROPN ADJ NOUN PROPN ADJ NUM VERB DET NOUN VERB PUNCT PUNCT ADJ ADJ NOUN VERB ADV ADJ ADV CCONJ VERB VERB PART ADP NOUN CCONJ NOUN	▁Tin a ▁D ick s , ▁whose ▁son ▁Thomas , ▁aged ▁six , ▁attend s ▁the ▁school , ▁said ▁ : ▁ ‘ ▁My ▁little ▁boy ▁is ▁extremely ▁happy ▁there ▁and ▁is ▁coming ▁on ▁by ▁leap s ▁and ▁bound s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	PROPN PROPN PROPN PROPN PROPN PROPN ADJ NOUN PROPN PROPN ADJ NUM NUM VERB VERB DET NOUN NOUN VERB PUNCT PUNCT PUNCT PUNCT ADJ ADJ NOUN VERB ADV ADJ ADV CCONJ VERB VERB PART ADP NOUN NOUN CCONJ NOUN NOUN NOUN
It had expanded by leaps and bounds.	0 0 0 1 1 1 1	by leaps and bounds	figurative	identical	PRON VERB VERB ADP NOUN CCONJ NOUN	▁It ▁had ▁expanded ▁by ▁leap s ▁and ▁bound s .	0 0 0 1 1 1 1 1 1 1	PRON VERB VERB ADP NOUN NOUN CCONJ NOUN NOUN NOUN
She praised me, saying my English had improved by leaps and bounds.	0 0 0 0 0 0 0 0 1 1 1 1	by leaps and bounds	figurative	identical	PRON VERB PRON VERB ADJ PROPN VERB VERB ADP NOUN CCONJ NOUN	▁She ▁praise d ▁me , ▁saying ▁my ▁English ▁had ▁improved ▁by ▁leap s ▁and ▁bound s .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	PRON VERB VERB PRON PRON VERB ADJ PROPN VERB VERB ADP NOUN NOUN CCONJ NOUN NOUN NOUN
In part his object, especially in New York, was to recruit seamen from British ships into the union, a device which Joe Cotter, for one, regarded with admiration since as a result membership of the NSFU " went up by leaps and bounds " But he was also testing out the reaction of the men to the notion of an international strike, a theme he pursued at dozens of meetings in the United Kingdom in the following year, thirty such meetings being held in London alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by leaps and bounds	figurative	identical	ADP NOUN ADJ NOUN ADV ADP PROPN PROPN VERB PART VERB NOUN ADP ADJ NOUN ADP DET NOUN DET NOUN ADJ PROPN PROPN ADP NUM VERB ADP NOUN ADP ADP DET NOUN NOUN ADP DET PROPN PUNCT VERB PART ADP NOUN CCONJ NOUN PUNCT CCONJ PRON VERB ADV VERB PART DET NOUN ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN DET NOUN PRON VERB ADP NOUN ADP NOUN ADP DET PROPN PROPN ADP DET ADJ NOUN NUM ADJ NOUN VERB VERB ADP PROPN ADV	▁In ▁part ▁his ▁object , ▁especially ▁in ▁New ▁York , ▁was ▁to ▁recruit ▁seamen ▁from ▁British ▁ships ▁into ▁the ▁union , ▁a ▁device ▁which ▁Jo e ▁Cot ter , ▁for ▁one , ▁regarded ▁with ▁admiration ▁since ▁as ▁a ▁result ▁membership ▁of ▁the ▁N S FU ▁" ▁went ▁up ▁by ▁leap s ▁and ▁bound s ▁" ▁But ▁he ▁was ▁also ▁testing ▁out ▁the ▁reaction ▁of ▁the ▁men ▁to ▁the ▁notion ▁of ▁an ▁international ▁strike , ▁a ▁theme ▁he ▁pursued ▁at ▁dozen s ▁of ▁meetings ▁in ▁the ▁United ▁Kingdom ▁in ▁the ▁following ▁year , ▁thirty ▁such ▁meetings ▁being ▁held ▁in ▁London ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN ADJ NOUN NOUN ADV ADP PROPN PROPN PROPN VERB PART VERB NOUN ADP ADJ NOUN ADP DET NOUN NOUN DET NOUN ADJ PROPN PROPN PROPN PROPN PROPN ADP NUM NUM VERB ADP NOUN ADP ADP DET NOUN NOUN ADP DET PROPN PROPN PROPN PUNCT VERB PART ADP NOUN NOUN CCONJ NOUN NOUN PUNCT CCONJ PRON VERB ADV VERB PART DET NOUN ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN DET NOUN PRON VERB ADP NOUN NOUN ADP NOUN ADP DET PROPN PROPN ADP DET ADJ NOUN NOUN NUM ADJ NOUN VERB VERB ADP PROPN ADV ADV
As a key component of the RMB4~trillion ( $ 630~billion ) stimulus package introduced during the 2008 - 2009 global financial crisis, investment in high - speed - rail construction increased by leaps and bounds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	by leaps and bounds	figurative	identical	ADP DET ADJ NOUN ADP DET PROPN PUNCT SYM NUM PUNCT NOUN NOUN VERB ADP DET NUM SYM NUM ADJ ADJ NOUN NOUN ADP ADJ PUNCT NOUN PUNCT NOUN NOUN VERB ADP NOUN CCONJ NOUN	▁As ▁a ▁key ▁component ▁of ▁the ▁R MB 4 ~ tr illion ▁( ▁$ ▁6 30 ~ b illion ▁ ) ▁stimulus ▁package ▁introduced ▁during ▁the ▁2008 ▁- ▁2009 ▁global ▁financial ▁crisis , ▁investment ▁in ▁high ▁- ▁speed ▁- ▁rail ▁construction ▁increased ▁by ▁leap s ▁and ▁bound s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	ADP DET ADJ NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PUNCT SYM NUM NUM NUM NUM NUM PUNCT PUNCT NOUN NOUN VERB ADP DET NUM SYM NUM ADJ ADJ NOUN NOUN NOUN ADP ADJ PUNCT NOUN PUNCT NOUN NOUN VERB ADP NOUN NOUN CCONJ NOUN NOUN NOUN
That this is so is borne out by the fact that seaside towns with golf links handy have gone ahead by leaps and bounds.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	by leaps and bounds	figurative	dashes	ADP DET VERB ADV VERB VERB PART ADP DET NOUN ADP NOUN NOUN ADP NOUN NOUN ADJ VERB VERB ADV ADP NOUN CCONJ PUNCT	▁That ▁this ▁is ▁so ▁is ▁borne ▁out ▁by ▁the ▁fact ▁that ▁sea side ▁towns ▁with ▁golf ▁links ▁hand y ▁have ▁gone ▁ahead ▁by ▁leap s ▁and ▁bound s . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1	ADP DET VERB ADV VERB VERB PART ADP DET NOUN ADP NOUN NOUN NOUN ADP NOUN NOUN ADJ ADJ VERB VERB ADV ADP NOUN NOUN CCONJ PUNCT PUNCT PUNCT PUNCT
To attempt to bring up children in the 1780s and ' 90s was an unenviable task indeed — yet the number of such children was itself increasing by leaps and bounds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	by leaps and bounds	figurative	identical	PART VERB PART VERB PART NOUN ADP DET NUM CCONJ PUNCT NOUN VERB DET ADJ NOUN ADV PUNCT CCONJ DET NOUN ADP ADJ NOUN VERB PRON VERB ADP NOUN CCONJ NOUN	▁To ▁attempt ▁to ▁bring ▁up ▁children ▁in ▁the ▁17 80 s ▁and ▁' ▁90 s ▁was ▁an ▁un en vi able ▁task ▁indeed ▁ — ▁yet ▁the ▁number ▁of ▁such ▁children ▁was ▁itself ▁increasing ▁by ▁leap s ▁and ▁bound s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	PART VERB PART VERB PART NOUN ADP DET NUM NUM NUM CCONJ PUNCT NOUN NOUN VERB DET ADJ ADJ ADJ ADJ NOUN ADV PUNCT PUNCT CCONJ DET NOUN ADP ADJ NOUN VERB PRON VERB ADP NOUN NOUN CCONJ NOUN NOUN NOUN
If the flow of compulsory exiles to Siberia decreased during the reign of Peter the Great, so did the rate of voluntary fugitives from central European Russia increase by leaps and bounds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	by leaps and bounds	figurative	identical	ADP DET NOUN ADP ADJ NOUN ADP PROPN VERB ADP DET NOUN ADP PROPN DET PROPN ADV VERB DET NOUN ADP ADJ NOUN ADP ADJ ADJ PROPN NOUN ADP NOUN CCONJ NOUN	▁If ▁the ▁flow ▁of ▁compulsory ▁exile s ▁to ▁S iber ia ▁decreased ▁during ▁the ▁reign ▁of ▁Peter ▁the ▁Great , ▁so ▁did ▁the ▁rate ▁of ▁voluntary ▁fu gi tives ▁from ▁central ▁European ▁Russia ▁increase ▁by ▁leap s ▁and ▁bound s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	ADP DET NOUN ADP ADJ NOUN NOUN ADP PROPN PROPN PROPN VERB ADP DET NOUN ADP PROPN DET PROPN PROPN ADV VERB DET NOUN ADP ADJ NOUN NOUN NOUN ADP ADJ ADJ PROPN NOUN ADP NOUN NOUN CCONJ NOUN NOUN NOUN
It was designed for the struggle which, as I feared, was before us ; between the two European tendencies which Napoleon I called Republican and Cossack, and which I, according to our present ideas, should designate on the one side as the system of order on a monarchical basis, and on the other as the social republic to the level of which the antimonarchical development is wo nt to sink, either slowly or by leaps and bounds, until the conditions thus created become intolerable, and the disappointed populace are ready for a violent return to monarchical institutions in a Caesarean form.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by leaps and bounds	figurative	identical	PRON VERB VERB ADP DET NOUN ADJ ADP PRON VERB VERB ADP PRON PUNCT ADP DET NUM ADJ NOUN ADJ PROPN PRON VERB PROPN CCONJ PROPN CCONJ ADJ PRON VERB ADP ADJ ADJ NOUN VERB VERB ADP DET NUM NOUN ADP DET NOUN ADP NOUN ADP DET ADJ NOUN CCONJ ADP DET ADJ ADP DET ADJ NOUN ADP DET NOUN ADP ADJ DET ADJ NOUN VERB VERB ADV PART VERB CCONJ ADV CCONJ ADP NOUN CCONJ NOUN ADP DET NOUN ADV VERB VERB ADJ CCONJ DET ADJ NOUN VERB ADJ ADP DET ADJ NOUN ADP ADJ NOUN ADP DET ADJ NOUN	▁It ▁was ▁designed ▁for ▁the ▁struggle ▁which , ▁as ▁I ▁feared , ▁was ▁before ▁us ▁ ; ▁between ▁the ▁two ▁European ▁tendencies ▁which ▁Napol e on ▁I ▁called ▁Republic an ▁and ▁Co s s ack , ▁and ▁which ▁I , ▁according ▁to ▁our ▁present ▁ideas , ▁should ▁designate ▁on ▁the ▁one ▁side ▁as ▁the ▁system ▁of ▁order ▁on ▁a ▁mon arch ical ▁basis , ▁and ▁on ▁the ▁other ▁as ▁the ▁social ▁republic ▁to ▁the ▁level ▁of ▁which ▁the ▁anti mon arch ical ▁development ▁is ▁ wo ▁ nt ▁to ▁sink , ▁either ▁slowly ▁or ▁by ▁leap s ▁and ▁bound s , ▁until ▁the ▁conditions ▁thus ▁created ▁become ▁intolerable , ▁and ▁the ▁disappointed ▁popul ace ▁are ▁ready ▁for ▁a ▁violent ▁return ▁to ▁mon arch ical ▁institutions ▁in ▁a ▁Ca es area n ▁form .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP DET NOUN ADJ ADJ ADP PRON VERB VERB VERB ADP PRON PUNCT PUNCT ADP DET NUM ADJ NOUN ADJ PROPN PROPN PROPN PRON VERB PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN CCONJ ADJ PRON PRON VERB ADP ADJ ADJ NOUN NOUN VERB VERB ADP DET NUM NOUN ADP DET NOUN ADP NOUN ADP DET ADJ ADJ ADJ NOUN NOUN CCONJ ADP DET ADJ ADP DET ADJ NOUN ADP DET NOUN ADP ADJ DET ADJ ADJ ADJ ADJ NOUN VERB VERB VERB ADV ADV PART VERB VERB CCONJ ADV CCONJ ADP NOUN NOUN CCONJ NOUN NOUN NOUN ADP DET NOUN ADV VERB VERB ADJ ADJ CCONJ DET ADJ NOUN NOUN VERB ADJ ADP DET ADJ NOUN ADP ADJ ADJ ADJ NOUN ADP DET ADJ ADJ ADJ ADJ NOUN NOUN
