A country with sound public finances can thus become a fiscal basket case practically overnight.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	basket case	figurative	identical	DET NOUN ADP ADJ ADJ NOUN VERB ADV VERB DET ADJ NOUN NOUN ADV ADV	▁A ▁country ▁with ▁sound ▁public ▁finances ▁can ▁thus ▁become ▁a ▁fiscal ▁basket ▁case ▁practically ▁overnight .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	DET NOUN ADP ADJ ADJ NOUN VERB ADV VERB DET ADJ NOUN NOUN ADV ADV ADV
What a complete and utter basket - case James ' shaken and stirred ' Bond is.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	basket case	figurative	dashes	ADJ DET ADJ CCONJ ADJ NOUN PUNCT NOUN PROPN PART VERB CCONJ VERB PUNCT NOUN VERB	▁What ▁a ▁complete ▁and ▁utter ▁basket ▁- ▁case ▁James ▁' ▁shaken ▁and ▁stir red ▁' ▁Bond ▁is .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	ADJ DET ADJ CCONJ ADJ NOUN PUNCT NOUN PROPN PART VERB CCONJ VERB VERB PUNCT NOUN VERB VERB
Siemens Nixdorf Informationssysteme AG now looks as if it is right down there in the corporate basket case category : after some three years of substantial losses, Siemens AG chairman Heinrich von Pierer now says that an effort is being made to ensure that its return to profit ‘ doesn't take much longer than three years;’ its biggest problem is that the pain of customers starting to go stone cold on mainframes has scarcely begun yet in Germany.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	basket case	figurative	identical	PROPN PROPN PROPN PROPN ADV VERB ADP ADP PRON VERB ADV ADV ADV ADP DET ADJ NOUN NOUN NOUN PUNCT ADP DET NUM NOUN ADP ADJ NOUN PROPN PROPN NOUN PROPN PROPN PROPN ADV VERB ADP DET NOUN VERB VERB VERB PART VERB ADP ADJ NOUN PART VERB PRON VERB VERB ADV ADJ ADP NUM NOUN ADJ ADJ NOUN VERB ADP DET NOUN ADP NOUN VERB PART VERB NOUN NOUN ADP NOUN VERB ADV VERB ADV ADP PROPN	▁Siemens ▁N ix dorf ▁Information s system e ▁AG ▁now ▁looks ▁as ▁if ▁it ▁is ▁right ▁down ▁there ▁in ▁the ▁corporate ▁basket ▁case ▁category ▁ : ▁after ▁some ▁three ▁years ▁of ▁substantial ▁losses , ▁Siemens ▁AG ▁chairman ▁H einrich ▁von ▁Pier er ▁now ▁says ▁that ▁an ▁effort ▁is ▁being ▁made ▁to ▁ensure ▁that ▁its ▁return ▁to ▁profit ▁ ‘ ▁does n ' t ▁take ▁much ▁longer ▁than ▁three ▁years ; ’ ▁its ▁biggest ▁problem ▁is ▁that ▁the ▁pain ▁of ▁customers ▁starting ▁to ▁go ▁stone ▁cold ▁on ▁main frame s ▁has ▁scarcely ▁begun ▁yet ▁in ▁Germany .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADV VERB ADP ADP PRON VERB ADV ADV ADV ADP DET ADJ NOUN NOUN NOUN PUNCT PUNCT ADP DET NUM NOUN ADP ADJ NOUN NOUN PROPN PROPN NOUN PROPN PROPN PROPN PROPN PROPN ADV VERB ADP DET NOUN VERB VERB VERB PART VERB ADP ADJ NOUN PART VERB PRON PRON VERB VERB VERB VERB VERB ADV ADJ ADP NUM NOUN NOUN NOUN ADJ ADJ NOUN VERB ADP DET NOUN ADP NOUN VERB PART VERB NOUN NOUN ADP NOUN NOUN NOUN VERB ADV VERB ADV ADP PROPN PROPN
Basket case?	1 1	basket case	figurative	case	NOUN NOUN	▁Bas ket ▁case ?	1 1 1 1	NOUN NOUN NOUN NOUN
Restored in 1960 for the Temora Aero Club she eventually fell into disuse and was sold to Ray Windred of Dungong, New South Wales, as a basket case.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	basket case	figurative	identical	VERB ADP NUM ADP DET PROPN PROPN PROPN PRON ADV VERB ADP NOUN CCONJ VERB VERB ADP PROPN PROPN ADP PROPN PROPN PROPN PROPN ADP DET NOUN NOUN	▁Rest or ed ▁in ▁1960 ▁for ▁the ▁Te mor a ▁Aero ▁Club ▁she ▁eventually ▁fell ▁into ▁dis use ▁and ▁was ▁sold ▁to ▁Ray ▁Wind red ▁of ▁D ung ong , ▁New ▁South ▁Wales , ▁as ▁a ▁basket ▁case .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	VERB VERB VERB ADP NUM ADP DET PROPN PROPN PROPN PROPN PROPN PRON ADV VERB ADP NOUN NOUN CCONJ VERB VERB ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP DET NOUN NOUN NOUN
Strangely enough, they consistently demand outrageous prices for things like basket - case Eko Rangers and Westone basses that have obviously been used to fell fair - sized pine trees, but they also have the laughably ignorant if highly convenient habit of pricing guitar amplifiers on the simple basis of how large they are.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	basket case	figurative	dashes	ADV ADV PRON ADV VERB ADJ NOUN ADP NOUN ADP NOUN PUNCT NOUN PROPN PROPN CCONJ PROPN NOUN ADJ VERB ADV VERB VERB PART VERB ADJ PUNCT ADJ ADJ NOUN CCONJ PRON ADV VERB DET ADV ADJ ADP ADV ADJ NOUN ADP VERB NOUN NOUN ADP DET ADJ NOUN ADP ADV ADJ PRON VERB	▁St range ly ▁enough , ▁they ▁consistently ▁demand ▁outrageous ▁prices ▁for ▁things ▁like ▁basket ▁- ▁case ▁E ko ▁Range rs ▁and ▁We stone ▁bas ses ▁that ▁have ▁obviously ▁been ▁used ▁to ▁fell ▁fair ▁- ▁sized ▁p ine ▁trees , ▁but ▁they ▁also ▁have ▁the ▁laugh ably ▁ignor ant ▁if ▁highly ▁convenient ▁habit ▁of ▁pricing ▁ gui tar ▁amplifiers ▁on ▁the ▁simple ▁basis ▁of ▁how ▁large ▁they ▁are .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADV ADV PRON ADV VERB ADJ NOUN ADP NOUN ADP NOUN PUNCT NOUN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN NOUN NOUN ADJ VERB ADV VERB VERB PART VERB ADJ PUNCT ADJ ADJ ADJ NOUN NOUN CCONJ PRON ADV VERB DET ADV ADV ADJ ADJ ADP ADV ADJ NOUN ADP VERB NOUN NOUN NOUN NOUN ADP DET ADJ NOUN ADP ADV ADJ PRON VERB VERB
I asked Stephen — one of the two hapless fathers and himself reduced to a mulberry - eyed basket case — if he still had enough marbles to drive me to the station at Orvieto.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	basket case	figurative	identical	PRON VERB PROPN PUNCT NUM ADP DET NUM ADJ NOUN CCONJ PRON VERB ADP DET NOUN PUNCT ADJ NOUN NOUN PUNCT ADP PRON ADV VERB ADJ NOUN PART VERB PRON ADP DET NOUN ADP PROPN	▁I ▁asked ▁Step hen ▁ — ▁one ▁of ▁the ▁two ▁hap less ▁fathers ▁and ▁himself ▁reduced ▁to ▁a ▁mul berry ▁- ▁eye d ▁basket ▁case ▁ — ▁if ▁he ▁still ▁had ▁enough ▁marble s ▁to ▁drive ▁me ▁to ▁the ▁station ▁at ▁Or vie to .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PROPN PROPN PUNCT PUNCT NUM ADP DET NUM ADJ ADJ NOUN CCONJ PRON VERB ADP DET NOUN NOUN PUNCT ADJ ADJ NOUN NOUN PUNCT PUNCT ADP PRON ADV VERB ADJ NOUN NOUN PART VERB PRON ADP DET NOUN ADP PROPN PROPN PROPN PROPN
A CONSPICUOUS basket - case in a region of economic miracles, the Philippines offers investors a strange paradox.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	basket case	figurative	dashes	DET ADJ NOUN PUNCT NOUN ADP DET NOUN ADP ADJ NOUN DET PROPN VERB NOUN DET ADJ NOUN	▁A ▁CON S PI CU OUS ▁basket ▁- ▁case ▁in ▁a ▁region ▁of ▁economic ▁miracle s , ▁the ▁Philippines ▁offers ▁investors ▁a ▁strange ▁paradox .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADJ ADJ ADJ ADJ NOUN PUNCT NOUN ADP DET NOUN ADP ADJ NOUN NOUN NOUN DET PROPN VERB NOUN DET ADJ NOUN NOUN
The difference, says a senior commission official, is that ' binding procedures ' means interfering only with the real basket - cases ( a euphemism for Greece, Italy and Belgium, which respectively run budget deficits of 19 %, 10 %, and 6 % of their GDPs ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	basket case	figurative	combined-inflection	DET NOUN VERB DET ADJ NOUN NOUN VERB DET PUNCT VERB NOUN PART NOUN VERB ADV ADP DET ADJ NOUN PUNCT NOUN PUNCT DET NOUN ADP PROPN PROPN CCONJ PROPN ADJ ADV VERB NOUN NOUN ADP NUM NOUN NUM NOUN CCONJ NUM NOUN ADP ADJ NOUN PUNCT	▁The ▁difference , ▁says ▁a ▁senior ▁commission ▁official , ▁is ▁that ▁' ▁binding ▁procedures ▁' ▁means ▁interfer ing ▁only ▁with ▁the ▁real ▁basket ▁- ▁cases ▁( ▁a ▁eu phem ism ▁for ▁Greece , ▁Italy ▁and ▁Belgium , ▁which ▁respectively ▁run ▁budget ▁deficits ▁of ▁19 ▁% , ▁10 ▁% , ▁and ▁6 ▁% ▁of ▁their ▁GDP s ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB DET ADJ NOUN NOUN NOUN VERB DET PUNCT VERB NOUN PART NOUN VERB VERB ADV ADP DET ADJ NOUN PUNCT NOUN PUNCT DET NOUN NOUN NOUN ADP PROPN PROPN PROPN CCONJ PROPN PROPN ADJ ADV VERB NOUN NOUN ADP NUM NOUN NOUN NUM NOUN NOUN CCONJ NUM NOUN ADP ADJ NOUN NOUN PUNCT PUNCT
In systems integration, for example, Gartner Group rates Bull fourth in Europe and sixth in the world, which is a fact that continually gets lost amid all of Bull's other bad news — and the French authorities seem to be oblivious to how badly the regular injections of state cash to prop Bull up play in the outside world, causing the company to be regarded as a corporate basket case that would no longer exist if it were subjected to the normal commercial disciplines faced by all its foreign competitors.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	basket case	figurative	identical	ADP NOUN NOUN ADP NOUN PROPN PROPN NOUN PROPN ADV ADP PROPN CCONJ ADJ ADP DET NOUN ADJ VERB DET NOUN ADJ ADV VERB VERB ADP DET ADP PROPN ADJ ADJ NOUN PUNCT CCONJ DET ADJ NOUN VERB PART VERB ADJ ADP ADV ADV DET ADJ NOUN ADP NOUN NOUN PART VERB PROPN PART NOUN ADP DET ADJ NOUN VERB DET NOUN PART VERB VERB ADP DET ADJ NOUN NOUN ADJ VERB ADV ADV VERB ADP PRON VERB VERB ADP DET ADJ ADJ NOUN VERB ADP DET ADJ ADJ NOUN	▁In ▁systems ▁integration , ▁for ▁example , ▁Gar t ner ▁Group ▁rates ▁Bull ▁fourth ▁in ▁Europe ▁and ▁sixth ▁in ▁the ▁world , ▁which ▁is ▁a ▁fact ▁that ▁continually ▁get s ▁lost ▁a mid ▁all ▁of ▁Bull ' s ▁other ▁bad ▁new s ▁ — ▁and ▁the ▁French ▁authorities ▁seem ▁to ▁be ▁obli vious ▁to ▁how ▁badly ▁the ▁regular ▁injections ▁of ▁state ▁cash ▁to ▁prop ▁Bull ▁up ▁play ▁in ▁the ▁outside ▁world , ▁causing ▁the ▁company ▁to ▁be ▁regarded ▁as ▁a ▁corporate ▁basket ▁case ▁that ▁would ▁no ▁longer ▁exist ▁if ▁it ▁were ▁subjected ▁to ▁the ▁normal ▁commercial ▁disciplines ▁faced ▁by ▁all ▁its ▁foreign ▁competitors .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN NOUN NOUN ADP NOUN NOUN PROPN PROPN PROPN PROPN NOUN PROPN ADV ADP PROPN CCONJ ADJ ADP DET NOUN NOUN ADJ VERB DET NOUN ADJ ADV VERB VERB VERB ADP ADP DET ADP PROPN PROPN PROPN ADJ ADJ NOUN NOUN PUNCT PUNCT CCONJ DET ADJ NOUN VERB PART VERB ADJ ADJ ADP ADV ADV DET ADJ NOUN ADP NOUN NOUN PART VERB PROPN PART NOUN ADP DET ADJ NOUN NOUN VERB DET NOUN PART VERB VERB ADP DET ADJ NOUN NOUN ADJ VERB ADV ADV VERB ADP PRON VERB VERB ADP DET ADJ ADJ NOUN VERB ADP DET ADJ ADJ NOUN NOUN
It was bad enough to have to spend my days acting as occupational therapist to a bunch of linguistic basket - cases without having my social acquaintances dropping in to witness my degradation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	basket case	figurative	combined-inflection	PRON VERB ADJ ADV PART VERB PART VERB ADJ NOUN VERB ADP ADJ NOUN ADP DET NOUN ADP ADJ NOUN PUNCT NOUN ADP VERB ADJ ADJ NOUN VERB PART PART VERB ADJ NOUN	▁It ▁was ▁bad ▁enough ▁to ▁have ▁to ▁spend ▁my ▁days ▁acting ▁as ▁occupational ▁the rap ist ▁to ▁a ▁b unch ▁of ▁linguistic ▁basket ▁- ▁cases ▁without ▁having ▁my ▁social ▁acquaint ance s ▁dropping ▁in ▁to ▁witness ▁my ▁degradation .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ ADV PART VERB PART VERB ADJ NOUN VERB ADP ADJ NOUN NOUN NOUN ADP DET NOUN NOUN ADP ADJ NOUN PUNCT NOUN ADP VERB ADJ ADJ NOUN NOUN NOUN VERB PART PART VERB ADJ NOUN NOUN
