Like Walker, Gould is adamant that his team's form isn't just a flash in the pan.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	ADP PROPN PROPN VERB ADJ ADP ADJ NOUN NOUN VERB ADV DET NOUN ADP DET NOUN	▁Like ▁W al ker , ▁G oul d ▁is ▁a dam ant ▁that ▁his ▁team ' s ▁form ▁is n ' t ▁just ▁a ▁flash ▁in ▁the ▁pan .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADJ ADJ ADJ ADP ADJ NOUN NOUN NOUN NOUN VERB VERB VERB VERB ADV DET NOUN ADP DET NOUN NOUN
We don't know how long it will last but we 're convinced it won't just be a flash in the pan	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	PRON VERB VERB ADV ADV PRON VERB VERB CCONJ PRON VERB ADJ PRON VERB ADV VERB DET NOUN ADP DET NOUN	▁We ▁don ' t ▁know ▁how ▁long ▁it ▁will ▁last ▁but ▁we ▁' re ▁convinced ▁it ▁won ' t ▁just ▁be ▁a ▁flash ▁in ▁the ▁pan	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	PRON VERB VERB VERB VERB ADV ADV PRON VERB VERB CCONJ PRON VERB VERB ADJ PRON VERB VERB VERB ADV VERB DET NOUN ADP DET NOUN
Yet England had played so well that, equally, there was no reason to think it would prove to be a flash in the pan.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	CCONJ PROPN VERB VERB ADV ADV ADP ADV ADV VERB DET NOUN PART VERB PRON VERB VERB PART VERB DET NOUN ADP DET NOUN	▁Yet ▁England ▁had ▁played ▁so ▁well ▁that , ▁equally , ▁there ▁was ▁no ▁reason ▁to ▁think ▁it ▁would ▁prove ▁to ▁be ▁a ▁flash ▁in ▁the ▁pan .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	CCONJ PROPN VERB VERB ADV ADV ADP ADP ADV ADV ADV VERB DET NOUN PART VERB PRON VERB VERB PART VERB DET NOUN ADP DET NOUN NOUN
Before, we were just listening to everybody else telling us to keep on playing and carry on doing this and that, but that was really just because they were afraid we were going to be a flash in the pan.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	ADP PRON VERB ADV VERB ADP NOUN ADV VERB PRON PART VERB PART VERB CCONJ VERB PART VERB DET CCONJ DET CCONJ DET VERB ADV ADV ADP PRON VERB ADJ PRON VERB VERB PART VERB DET NOUN ADP DET NOUN	▁Before , ▁we ▁were ▁just ▁listening ▁to ▁everybody ▁else ▁telling ▁us ▁to ▁keep ▁on ▁playing ▁and ▁carry ▁on ▁doing ▁this ▁and ▁that , ▁but ▁that ▁was ▁really ▁just ▁because ▁they ▁were ▁afraid ▁we ▁were ▁going ▁to ▁be ▁a ▁flash ▁in ▁the ▁pan .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADP ADP PRON VERB ADV VERB ADP NOUN ADV VERB PRON PART VERB PART VERB CCONJ VERB PART VERB DET CCONJ DET DET CCONJ DET VERB ADV ADV ADP PRON VERB ADJ PRON VERB VERB PART VERB DET NOUN ADP DET NOUN NOUN
Yeah but it's a flash in the pan.	0 0 0 0 1 1 0 1	flash in the pan	figurative	identical	INTJ CCONJ PRON DET NOUN ADP DET NOUN	▁Ye ah ▁but ▁it ' s ▁a ▁flash ▁in ▁the ▁pan .	0 0 0 0 0 0 0 1 1 0 1 1	INTJ INTJ CCONJ PRON PRON PRON DET NOUN ADP DET NOUN NOUN
What we must try and do now is prove Saturday was not a flash in the pan.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	dashes	NOUN PRON VERB VERB CCONJ VERB ADV VERB VERB PROPN VERB ADV DET NOUN ADP DET NOUN	▁What ▁we ▁must ▁try ▁and ▁do ▁now ▁is ▁prove ▁Saturday ▁was ▁not ▁a ▁flash ▁in ▁the ▁pan . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	NOUN PRON VERB VERB CCONJ VERB ADV VERB VERB PROPN VERB ADV DET NOUN ADP DET NOUN NOUN NOUN
Neither Philippe Séguin nor Philippe de Villier is in any sense a ‘ flash in the pan’.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	flash in the pan	figurative	dashes	DET PROPN PROPN CCONJ PROPN PROPN PROPN VERB ADP DET NOUN DET ADJ NOUN ADP DET NOUN	▁Neither ▁Philippe ▁S é gu in ▁nor ▁Philippe ▁de ▁Vil lier ▁is ▁in ▁any ▁sense ▁a ▁ ‘ ▁flash ▁in ▁the ▁pan ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	DET PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN VERB ADP DET NOUN DET ADJ ADJ NOUN ADP DET NOUN NOUN NOUN
Moreover, if you accept the ordinary laws of science, you have to suppose that human life and life in general on this planet will die out in due course : it is merely a flash in the pan ; it is a stage in the decay of the solar ~ system ;	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	flash in the pan	figurative	identical	ADV ADP PRON VERB DET ADJ NOUN ADP NOUN PRON VERB PART VERB DET ADJ NOUN CCONJ NOUN ADP NOUN ADP DET NOUN VERB VERB PART ADP ADJ NOUN PUNCT PRON VERB ADV DET NOUN ADP DET NOUN PUNCT PRON VERB DET NOUN ADP DET NOUN ADP DET ADJ PUNCT NOUN PUNCT	▁Moreover , ▁if ▁you ▁accept ▁the ▁ordinary ▁laws ▁of ▁science , ▁you ▁have ▁to ▁suppose ▁that ▁human ▁life ▁and ▁life ▁in ▁general ▁on ▁this ▁planet ▁will ▁die ▁out ▁in ▁due ▁course ▁ : ▁it ▁is ▁mere ly ▁a ▁flash ▁in ▁the ▁pan ▁ ; ▁it ▁is ▁a ▁stage ▁in ▁the ▁decay ▁of ▁the ▁solar ▁ ~ ▁system ▁ ;	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADP PRON VERB DET ADJ NOUN ADP NOUN NOUN PRON VERB PART VERB DET ADJ NOUN CCONJ NOUN ADP NOUN ADP DET NOUN VERB VERB PART ADP ADJ NOUN PUNCT PUNCT PRON VERB ADV ADV DET NOUN ADP DET NOUN PUNCT PUNCT PRON VERB DET NOUN ADP DET NOUN ADP DET ADJ PUNCT PUNCT NOUN PUNCT PUNCT
But he emphasizes very strongly that in no way does this mean that there is no longer scope for their further development, or that their return to profitability is a flash in the pan, to be reversed whenever the next downturn comes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	flash in the pan	figurative	identical	CCONJ PRON VERB ADV ADV ADP ADP DET NOUN VERB DET VERB ADP ADV VERB DET ADJ NOUN ADP ADJ ADJ NOUN CCONJ ADP ADJ NOUN ADP NOUN VERB DET NOUN ADP DET NOUN PART VERB VERB ADV DET ADJ NOUN VERB	▁But ▁he ▁emphasize s ▁very ▁strongly ▁that ▁in ▁no ▁way ▁does ▁this ▁mean ▁that ▁there ▁is ▁no ▁longer ▁scope ▁for ▁their ▁further ▁development , ▁or ▁that ▁their ▁return ▁to ▁profitability ▁is ▁a ▁flash ▁in ▁the ▁pan , ▁to ▁be ▁reversed ▁whenever ▁the ▁next ▁downturn ▁comes .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB VERB ADV ADV ADP ADP DET NOUN VERB DET VERB ADP ADV VERB DET ADJ NOUN ADP ADJ ADJ NOUN NOUN CCONJ ADP ADJ NOUN ADP NOUN VERB DET NOUN ADP DET NOUN NOUN PART VERB VERB ADV DET ADJ NOUN VERB VERB
' You know very well that was just a — a flash - in - the - pan reaction — I felt threatened — it was just self - defence. '	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	flash in the pan	figurative	dashes	PUNCT PRON VERB ADV ADV DET VERB ADV DET PUNCT DET NOUN PUNCT ADP PUNCT DET PUNCT NOUN NOUN PUNCT PRON VERB VERB PUNCT PRON VERB ADV NOUN PUNCT NOUN PUNCT	▁' ▁You ▁know ▁very ▁well ▁that ▁was ▁just ▁a ▁ — ▁a ▁flash ▁- ▁in ▁- ▁the ▁- ▁pan ▁reaction ▁ — ▁I ▁felt ▁threatened ▁ — ▁it ▁was ▁just ▁self ▁- ▁defence . ▁'	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PRON VERB ADV ADV DET VERB ADV DET PUNCT PUNCT DET NOUN PUNCT ADP PUNCT DET PUNCT NOUN NOUN PUNCT PUNCT PRON VERB VERB PUNCT PUNCT PRON VERB ADV NOUN PUNCT NOUN NOUN PUNCT
‘ I think if Kylie Minogue has been a flash in the pan she would have lasted for a couple of singles.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	flash in the pan	figurative	identical	PUNCT PRON VERB ADP PROPN PROPN VERB VERB DET NOUN ADP DET NOUN PRON VERB VERB VERB ADP DET NOUN ADP NOUN	▁ ‘ ▁I ▁think ▁if ▁K yl ie ▁Min ogue ▁has ▁been ▁a ▁flash ▁in ▁the ▁pan ▁she ▁would ▁have ▁last ed ▁for ▁a ▁couple ▁of ▁single s .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB ADP PROPN PROPN PROPN PROPN PROPN VERB VERB DET NOUN ADP DET NOUN PRON VERB VERB VERB VERB ADP DET NOUN ADP NOUN NOUN NOUN
