Smith's copies have spent the last six days under lock and key at its Dunstable depot.	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	under lock and key	figurative	identical	PROPN NOUN VERB VERB DET ADJ NUM NOUN ADP NOUN CCONJ NOUN ADP ADJ ADJ NOUN	▁Smith ' s ▁copies ▁have ▁spent ▁the ▁last ▁six ▁days ▁under ▁lock ▁and ▁key ▁at ▁its ▁Dun s table ▁depot .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	PROPN PROPN PROPN NOUN VERB VERB DET ADJ NUM NOUN ADP NOUN CCONJ NOUN ADP ADJ ADJ ADJ ADJ NOUN NOUN
For so long she 'd held the secrets of her past under lock and key, barely allowing even Kelly much more than a glimpse into her background.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	under lock and key	figurative	identical	ADP ADV ADV PRON VERB VERB DET NOUN ADP ADJ NOUN ADP NOUN CCONJ NOUN ADV VERB ADV PROPN ADV ADJ ADP DET NOUN ADP ADJ NOUN	▁For ▁so ▁long ▁she ▁' d ▁held ▁the ▁secrets ▁of ▁her ▁past ▁under ▁lock ▁and ▁key , ▁barely ▁allowing ▁even ▁Kel ly ▁much ▁more ▁than ▁a ▁glim ps e ▁into ▁her ▁background .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADV ADV PRON VERB VERB VERB DET NOUN ADP ADJ NOUN ADP NOUN CCONJ NOUN NOUN ADV VERB ADV PROPN PROPN ADV ADJ ADP DET NOUN NOUN NOUN ADP ADJ NOUN NOUN
What could be more debilitating to the young, what harder to bear with constancy, than being shut into a narrow stone cell, under lock and key, with only a narrow cot, a tiny reading desk and a crucifix on the wall for company, and the length of half a dozen stone flags for exercise?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	under lock and key	figurative	identical	NOUN VERB VERB ADV VERB ADP DET ADJ NOUN ADV PART VERB ADP NOUN ADP VERB VERB ADP DET ADJ NOUN NOUN ADP NOUN CCONJ NOUN ADP ADV DET ADJ NOUN DET ADJ NOUN NOUN CCONJ DET NOUN ADP DET NOUN ADP NOUN CCONJ DET NOUN ADP ADJ DET NOUN NOUN NOUN ADP NOUN	▁What ▁could ▁be ▁more ▁de bil it ating ▁to ▁the ▁young , ▁what ▁harder ▁to ▁bear ▁with ▁con st ancy , ▁than ▁being ▁shut ▁into ▁a ▁narrow ▁stone ▁cell , ▁under ▁lock ▁and ▁key , ▁with ▁only ▁a ▁narrow ▁co t , ▁a ▁tiny ▁reading ▁desk ▁and ▁a ▁cru ci fix ▁on ▁the ▁wall ▁for ▁company , ▁and ▁the ▁length ▁of ▁half ▁a ▁dozen ▁stone ▁flags ▁for ▁exercise ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB ADV VERB VERB VERB VERB ADP DET ADJ ADJ NOUN ADV PART VERB ADP NOUN NOUN NOUN NOUN ADP VERB VERB ADP DET ADJ NOUN NOUN NOUN ADP NOUN CCONJ NOUN NOUN ADP ADV DET ADJ NOUN NOUN NOUN DET ADJ NOUN NOUN CCONJ DET NOUN NOUN NOUN ADP DET NOUN ADP NOUN NOUN CCONJ DET NOUN ADP ADJ DET NOUN NOUN NOUN ADP NOUN NOUN
She almost hisses, and Xanthe and Miranda understand this word because one of Miranda's special treasures, which she keeps in her treasure drawer under lock and key, but has shown Xanthe in a moment of love, is a figure of Jesus on the cross which glows greeny - white under the bedclothes if you 've shone a torch on it beforehand and saturated it with light.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	under lock and key	figurative	identical	PRON ADV VERB CCONJ PROPN CCONJ PROPN VERB DET NOUN ADP NUM ADP PROPN ADJ NOUN ADJ PRON VERB ADP ADJ NOUN NOUN ADP NOUN CCONJ NOUN CCONJ VERB VERB PROPN ADP DET NOUN ADP NOUN VERB DET NOUN ADP PROPN ADP DET NOUN ADJ VERB ADJ PUNCT NOUN ADP DET NOUN ADP PRON VERB VERB DET NOUN ADP PRON ADV CCONJ VERB PRON ADP NOUN	▁She ▁almost ▁his ses , ▁and ▁X an the ▁and ▁Miranda ▁understand ▁this ▁word ▁because ▁one ▁of ▁Miranda ' s ▁special ▁treasure s , ▁which ▁she ▁keeps ▁in ▁her ▁treasure ▁draw er ▁under ▁lock ▁and ▁key , ▁but ▁has ▁shown ▁X an the ▁in ▁a ▁moment ▁of ▁love , ▁is ▁a ▁figure ▁of ▁Jesus ▁on ▁the ▁cross ▁which ▁g low s ▁green y ▁- ▁white ▁under ▁the ▁be d cloth es ▁if ▁you ▁' ve ▁sh one ▁a ▁to rch ▁on ▁it ▁beforehand ▁and ▁saturated ▁it ▁with ▁light .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB VERB VERB CCONJ PROPN PROPN PROPN CCONJ PROPN VERB DET NOUN ADP NUM ADP PROPN PROPN PROPN ADJ NOUN NOUN NOUN ADJ PRON VERB ADP ADJ NOUN NOUN NOUN ADP NOUN CCONJ NOUN NOUN CCONJ VERB VERB PROPN PROPN PROPN ADP DET NOUN ADP NOUN NOUN VERB DET NOUN ADP PROPN ADP DET NOUN ADJ VERB VERB VERB ADJ ADJ PUNCT NOUN ADP DET NOUN NOUN NOUN NOUN ADP PRON VERB VERB VERB VERB DET NOUN NOUN ADP PRON ADV CCONJ VERB PRON ADP NOUN NOUN
The place where the criminally insane were kept under lock and key.	0 0 0 0 0 0 0 0 1 1 1 1	under lock and key	figurative	identical	DET NOUN ADV DET ADV ADJ VERB VERB ADP NOUN CCONJ NOUN	▁The ▁place ▁where ▁the ▁criminal ly ▁in s ane ▁were ▁kept ▁under ▁lock ▁and ▁key .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	DET NOUN ADV DET ADV ADV ADJ ADJ ADJ VERB VERB ADP NOUN CCONJ NOUN NOUN
He's got a potty old uncle living with him, who's generally kept under lock and key.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	under lock and key	figurative	identical	PRON VERB DET ADJ ADJ NOUN VERB ADP PRON NOUN ADV VERB ADP NOUN CCONJ NOUN	▁He ' s ▁got ▁a ▁pot ty ▁old ▁uncle ▁living ▁with ▁him , ▁who ' s ▁generally ▁kept ▁under ▁lock ▁and ▁key .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON PRON PRON VERB DET ADJ ADJ ADJ NOUN VERB ADP PRON PRON NOUN NOUN NOUN ADV VERB ADP NOUN CCONJ NOUN NOUN
‘ Sergeant Bragg and I will not rest until we have the murderer under lock and key.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	under lock and key	figurative	dashes	PUNCT PROPN PROPN CCONJ PRON VERB ADV VERB ADP PRON VERB DET NOUN ADP NOUN CCONJ ADJ	▁ ‘ ▁Ser ge ant ▁Bra gg ▁and ▁I ▁will ▁not ▁rest ▁until ▁we ▁have ▁the ▁murder er ▁under ▁lock ▁and ▁key . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN CCONJ PRON VERB ADV VERB ADP PRON VERB DET NOUN NOUN ADP NOUN CCONJ ADJ ADJ ADJ
Will the bicycles be kept under lock and key during the night stops I wanted to know, mindful of the problem of bike thieves.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	under lock and key	figurative	identical	VERB DET NOUN VERB VERB ADP NOUN CCONJ NOUN ADP DET NOUN VERB PRON VERB PART VERB NOUN ADP DET NOUN ADP NOUN NOUN	▁Will ▁the ▁bicycles ▁be ▁kept ▁under ▁lock ▁and ▁key ▁during ▁the ▁night ▁stops ▁I ▁wanted ▁to ▁know , ▁ mindful ▁of ▁the ▁problem ▁of ▁bi ke ▁thi e ves .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB DET NOUN VERB VERB ADP NOUN CCONJ NOUN ADP DET NOUN VERB PRON VERB PART VERB VERB NOUN NOUN ADP DET NOUN ADP NOUN NOUN NOUN NOUN NOUN NOUN
‘ But now you have him somewhere under lock and key, and with nothing good to look forward to, whatever follows.	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	under lock and key	figurative	identical	PUNCT CCONJ ADV PRON VERB PRON ADV ADP NOUN CCONJ NOUN CCONJ ADP NOUN ADJ PART VERB ADV ADP ADJ VERB	▁ ‘ ▁But ▁now ▁you ▁have ▁him ▁somewhere ▁under ▁lock ▁and ▁key , ▁and ▁with ▁nothing ▁good ▁to ▁look ▁forward ▁to , ▁whatever ▁follows .	0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT CCONJ ADV PRON VERB PRON ADV ADP NOUN CCONJ NOUN NOUN CCONJ ADP NOUN ADJ PART VERB ADV ADP ADP ADJ VERB VERB
I 'll keep it under lock and key, many thanks.	0 0 0 0 1 1 1 1 0 0	under lock and key	figurative	identical	PRON VERB VERB PRON ADP NOUN CCONJ NOUN ADJ NOUN	▁I ▁' ll ▁keep ▁it ▁under ▁lock ▁and ▁key , ▁many ▁thanks .	0 0 0 0 0 1 1 1 1 1 0 0 0	PRON VERB VERB VERB PRON ADP NOUN CCONJ NOUN NOUN ADJ NOUN NOUN
All the patients’ files are kept under lock and key in his office, so I only see what I am asked to type.’	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	under lock and key	figurative	identical	ADJ DET PROPN NOUN VERB VERB ADP NOUN CCONJ NOUN ADP ADJ NOUN CCONJ PRON ADV VERB NOUN PRON VERB VERB ADP PUNCT	▁All ▁the ▁patients ’ ▁files ▁are ▁kept ▁under ▁lock ▁and ▁key ▁in ▁his ▁office , ▁so ▁I ▁only ▁see ▁what ▁I ▁am ▁asked ▁to ▁type . ’	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ DET PROPN PROPN NOUN VERB VERB ADP NOUN CCONJ NOUN ADP ADJ NOUN NOUN CCONJ PRON ADV VERB NOUN PRON VERB VERB ADP PUNCT PUNCT PUNCT
