Other women took one look at them, and went green with envy.	0 0 0 0 0 0 0 0 0 1 1 1	green with envy	figurative	identical	ADJ NOUN VERB NUM NOUN ADP PRON CCONJ VERB ADJ ADP NOUN	▁Other ▁women ▁took ▁one ▁look ▁at ▁them , ▁and ▁went ▁green ▁with ▁en vy .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADJ NOUN VERB NUM NOUN ADP PRON PRON CCONJ VERB ADJ ADP NOUN NOUN NOUN
It's what you were born for — to make men's heads turn and women's eyes grow green with envy for all that you have that they can never hope to achieve.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	green with envy	figurative	identical	PRON NOUN PRON VERB VERB ADP PUNCT PART VERB NOUN NOUN VERB CCONJ NOUN NOUN VERB ADJ ADP NOUN ADP DET ADJ PRON VERB ADP PRON VERB ADV VERB ADP PRON	▁It ' s ▁what ▁you ▁were ▁born ▁for ▁ — ▁to ▁make ▁men ' s ▁heads ▁turn ▁and ▁women ' s ▁eyes ▁grow ▁green ▁with ▁en vy ▁for ▁all ▁that ▁you ▁have ▁that ▁they ▁can ▁never ▁hope ▁to ▁achieve . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON NOUN PRON VERB VERB ADP PUNCT PUNCT PART VERB NOUN NOUN NOUN NOUN VERB CCONJ NOUN NOUN NOUN NOUN VERB ADJ ADP NOUN NOUN ADP DET ADJ PRON VERB ADP PRON VERB ADV VERB ADP PRON PRON PRON
And I know colleague directors in the country who are green with envy at some of the things that we 've been able to do even in these difficult times.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	green with envy	figurative	identical	CCONJ PRON VERB NOUN NOUN ADP DET NOUN NOUN VERB ADJ ADP NOUN ADP DET ADP DET NOUN ADJ PRON VERB VERB ADJ PART VERB ADV ADP DET ADJ NOUN	▁And ▁I ▁know ▁colleague ▁directors ▁in ▁the ▁country ▁who ▁are ▁green ▁with ▁en vy ▁at ▁some ▁of ▁the ▁things ▁that ▁we ▁' ve ▁been ▁able ▁to ▁do ▁even ▁in ▁these ▁difficult ▁times .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB NOUN NOUN ADP DET NOUN NOUN VERB ADJ ADP NOUN NOUN ADP DET ADP DET NOUN ADJ PRON VERB VERB VERB ADJ PART VERB ADV ADP DET ADJ NOUN NOUN
The big problems for most of humanity will be to find enough conceptual puzzles and diversions in their work and leisure lives to avoid being bored, and enough relative status not to be green with envy of their fellows.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	green with envy	figurative	identical	DET ADJ NOUN ADP ADJ ADP NOUN VERB VERB PART VERB ADJ ADJ NOUN CCONJ NOUN ADP ADJ NOUN CCONJ NOUN NOUN PART VERB VERB ADJ CCONJ ADJ ADJ NOUN ADV PART VERB ADJ ADP NOUN ADP ADJ NOUN	▁The ▁big ▁problems ▁for ▁most ▁of ▁humanity ▁will ▁be ▁to ▁find ▁enough ▁conceptual ▁puzzle s ▁and ▁diversion s ▁in ▁their ▁work ▁and ▁leisure ▁lives ▁to ▁avoid ▁being ▁bore d , ▁and ▁enough ▁relative ▁status ▁not ▁to ▁be ▁green ▁with ▁en vy ▁of ▁their ▁fellow s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	DET ADJ NOUN ADP ADJ ADP NOUN VERB VERB PART VERB ADJ ADJ NOUN NOUN CCONJ NOUN NOUN ADP ADJ NOUN CCONJ NOUN NOUN PART VERB VERB ADJ ADJ ADJ CCONJ ADJ ADJ NOUN ADV PART VERB ADJ ADP NOUN NOUN ADP ADJ NOUN NOUN NOUN
Many thanks for a first class mag, even if I do go green with envy at some of the kit!	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	green with envy	figurative	identical	ADJ NOUN ADP DET ADJ NOUN NOUN ADV ADP PRON VERB VERB ADJ ADP NOUN ADP DET ADP DET NOUN	▁Many ▁thanks ▁for ▁a ▁first ▁class ▁ mag , ▁even ▁if ▁I ▁do ▁go ▁green ▁with ▁en vy ▁at ▁some ▁of ▁the ▁kit !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	ADJ NOUN ADP DET ADJ NOUN NOUN NOUN NOUN ADV ADP PRON VERB VERB ADJ ADP NOUN NOUN ADP DET ADP DET NOUN NOUN
The latest outpouring of new ideas for the shape of its services in the latter part of the decade from its erstwhile state - owned sibling British Telecommunications Plc, described here by Chris Rose, must leave Telekom green with envy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	green with envy	figurative	identical	DET ADJ NOUN ADP ADJ NOUN ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN ADP ADJ ADJ NOUN PUNCT VERB VERB PROPN PROPN PROPN VERB ADV ADP PROPN PROPN VERB VERB PROPN ADJ ADP NOUN	▁The ▁latest ▁out po uring ▁of ▁new ▁ideas ▁for ▁the ▁shape ▁of ▁its ▁services ▁in ▁the ▁latter ▁part ▁of ▁the ▁decade ▁from ▁its ▁er st while ▁state ▁- ▁owned ▁si bling ▁British ▁Te lecommunications ▁P lc , ▁described ▁here ▁by ▁Chr is ▁Rose , ▁must ▁leave ▁Tele kom ▁green ▁with ▁en vy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	DET ADJ NOUN NOUN NOUN ADP ADJ NOUN ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN ADP ADJ ADJ ADJ ADJ NOUN PUNCT VERB VERB VERB PROPN PROPN PROPN PROPN PROPN PROPN VERB ADV ADP PROPN PROPN PROPN PROPN VERB VERB PROPN PROPN ADJ ADP NOUN NOUN NOUN
The usual street - cars crawled past, citizens and soldiers clinging to the outside in a way to make Theodore ~ P .~ Shonts green with envy ....	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	green with envy	figurative	identical	DET ADJ NOUN PUNCT NOUN VERB NOUN NOUN CCONJ NOUN VERB ADP DET NOUN ADP DET NOUN PART VERB PROPN PUNCT NOUN PUNCT NOUN ADJ ADP NOUN PUNCT	▁The ▁usual ▁street ▁- ▁cars ▁c raw led ▁past , ▁citizens ▁and ▁soldiers ▁cl ing ing ▁to ▁the ▁outside ▁in ▁a ▁way ▁to ▁make ▁The od ore ▁ ~ ▁P ▁ . ~ ▁Sho nt s ▁green ▁with ▁en vy ▁... .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	DET ADJ NOUN PUNCT NOUN VERB VERB VERB NOUN NOUN NOUN CCONJ NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN PART VERB PROPN PROPN PROPN PUNCT PUNCT NOUN PUNCT PUNCT PUNCT NOUN NOUN NOUN ADJ ADP NOUN NOUN PUNCT PUNCT
Felton declines to comment on the cost of producing a magazine lavish enough to make many editors green with envy, but says Shell underwrites 50 to 70 per cent of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	green with envy	figurative	identical	PROPN VERB PART VERB ADP DET NOUN ADP VERB DET NOUN ADJ ADV PART VERB ADJ NOUN ADJ ADP NOUN CCONJ VERB PROPN VERB NUM PART NUM ADP NOUN ADP PRON	▁Felton ▁decline s ▁to ▁comment ▁on ▁the ▁cost ▁of ▁producing ▁a ▁magazine ▁ lav ish ▁enough ▁to ▁make ▁many ▁editor s ▁green ▁with ▁en vy , ▁but ▁says ▁Shell ▁under write s ▁50 ▁to ▁70 ▁per ▁cent ▁of ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB PART VERB ADP DET NOUN ADP VERB DET NOUN ADJ ADJ ADJ ADV PART VERB ADJ NOUN NOUN ADJ ADP NOUN NOUN NOUN CCONJ VERB PROPN VERB VERB VERB NUM PART NUM ADP NOUN ADP PRON PRON
PC Tools 8 is crammed with quality features, some of which could make MS - DOS go green with envy	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	green with envy	figurative	identical	PROPN PROPN NUM VERB VERB ADP NOUN NOUN DET ADP ADJ VERB VERB PROPN PUNCT PROPN VERB ADJ ADP NOUN	▁PC ▁Tools ▁8 ▁is ▁cr amme d ▁with ▁quality ▁features , ▁some ▁of ▁which ▁could ▁make ▁MS ▁- ▁D OS ▁go ▁green ▁with ▁en vy	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN PROPN NUM VERB VERB VERB VERB ADP NOUN NOUN NOUN DET ADP ADJ VERB VERB PROPN PUNCT PROPN PROPN VERB ADJ ADP NOUN NOUN
The ease with which it's possible to construct very professional looking presentations has to be experienced to be believed, and some of the tools it provides would make professional traditional animators green with envy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	green with envy	figurative	identical	DET NOUN ADP ADJ PRON ADJ PART VERB ADV ADJ VERB NOUN VERB PART VERB VERB PART VERB VERB CCONJ DET ADP DET NOUN PRON VERB VERB VERB ADJ ADJ NOUN ADJ ADP NOUN	▁The ▁ease ▁with ▁which ▁it ' s ▁possible ▁to ▁construct ▁very ▁professional ▁looking ▁presentation s ▁has ▁to ▁be ▁experienced ▁to ▁be ▁believed , ▁and ▁some ▁of ▁the ▁tools ▁it ▁provides ▁would ▁make ▁professional ▁traditional ▁an im ators ▁green ▁with ▁en vy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	DET NOUN ADP ADJ PRON PRON PRON ADJ PART VERB ADV ADJ VERB NOUN NOUN VERB PART VERB VERB PART VERB VERB VERB CCONJ DET ADP DET NOUN PRON VERB VERB VERB ADJ ADJ NOUN NOUN NOUN ADJ ADP NOUN NOUN NOUN
there is not a single piece by anyone other than himself on these discs which he is not able to rattle off with the short of nonchalant ease that would probably make even ARgerich or Pollini green with envy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	green with envy	figurative	identical	ADV VERB ADV DET ADJ NOUN ADP NOUN ADJ ADP PRON ADP DET NOUN ADJ PRON VERB ADV ADJ PART VERB PART ADP DET NOUN ADP ADJ NOUN ADJ VERB ADV VERB ADV PROPN CCONJ PROPN ADJ ADP NOUN	▁there ▁is ▁not ▁a ▁single ▁piece ▁by ▁anyone ▁other ▁than ▁himself ▁on ▁these ▁discs ▁which ▁he ▁is ▁not ▁able ▁to ▁ra ttle ▁off ▁with ▁the ▁short ▁of ▁non ch al ant ▁ease ▁that ▁would ▁probably ▁make ▁even ▁AR ge rich ▁or ▁Pol lin i ▁green ▁with ▁en vy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV VERB ADV DET ADJ NOUN ADP NOUN ADJ ADP PRON ADP DET NOUN ADJ PRON VERB ADV ADJ PART VERB VERB PART ADP DET NOUN ADP ADJ ADJ ADJ ADJ NOUN ADJ VERB ADV VERB ADV PROPN PROPN PROPN CCONJ PROPN PROPN PROPN ADJ ADP NOUN NOUN NOUN
