Hits it so low, he knocks it off and he comes down the wrong way and lands on top of us.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	knock it off	literal	inflection	VERB PRON ADV ADJ PRON VERB PRON PART CCONJ PRON VERB ADP DET ADJ NOUN CCONJ NOUN ADP NOUN ADP PRON	▁H its ▁it ▁so ▁low , ▁he ▁knock s ▁it ▁off ▁and ▁he ▁comes ▁down ▁the ▁wrong ▁way ▁and ▁lands ▁on ▁top ▁of ▁us .	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB PRON ADV ADJ ADJ PRON VERB VERB PRON PART CCONJ PRON VERB ADP DET ADJ NOUN CCONJ NOUN ADP NOUN ADP PRON PRON
Well I am I am I am quite sure that the person who's actually if you appointed them treasurer has got the authority to be able to say, there was ten pounds difference, I 'm knocking it off the door and that's it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	knock it off	literal	inflection	INTJ PRON VERB PRON VERB PRON VERB ADV ADJ ADP DET NOUN NOUN ADV ADP PRON VERB PRON NOUN VERB VERB DET NOUN PART VERB ADJ PART VERB ADV VERB NUM NOUN NOUN PRON VERB VERB PRON ADP DET NOUN CCONJ DET PRON	▁Well ▁I ▁am ▁I ▁am ▁I ▁am ▁quite ▁sure ▁that ▁the ▁person ▁who ' s ▁actually ▁if ▁you ▁appointed ▁them ▁treasure r ▁has ▁got ▁the ▁authority ▁to ▁be ▁able ▁to ▁say , ▁there ▁was ▁ten ▁pounds ▁difference , ▁I ▁' m ▁knock ing ▁it ▁off ▁the ▁door ▁and ▁that ' s ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	INTJ PRON VERB PRON VERB PRON VERB ADV ADJ ADP DET NOUN NOUN NOUN NOUN ADV ADP PRON VERB PRON NOUN NOUN VERB VERB DET NOUN PART VERB ADJ PART VERB VERB ADV VERB NUM NOUN NOUN NOUN PRON VERB VERB VERB VERB PRON ADP DET NOUN CCONJ DET DET DET PRON PRON
told him if he didn't wake up and be a bit more happy I was going to knock it off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	knock it off	figurative	identical	VERB PRON ADP PRON VERB VERB PART CCONJ VERB DET NOUN ADV ADJ PRON VERB VERB PART VERB PRON PART	▁told ▁him ▁if ▁he ▁did n ' t ▁wake ▁up ▁and ▁be ▁a ▁bit ▁more ▁happy ▁I ▁was ▁going ▁to ▁knock ▁it ▁off .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	VERB PRON ADP PRON VERB VERB VERB VERB VERB PART CCONJ VERB DET NOUN ADV ADJ PRON VERB VERB PART VERB PRON PART PART
Go on, Jungle, it's Sunday, knock it off, you want to shout as it rattles on 24 hrs per day.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	knock it off	figurative	identical	VERB PART PROPN PRON PROPN VERB PRON PART PRON VERB PART VERB ADP PRON VERB ADP NUM NOUN ADP NOUN	▁Go ▁on , ▁Jun gle , ▁it ' s ▁Sunday , ▁knock ▁it ▁off , ▁you ▁want ▁to ▁shout ▁as ▁it ▁ra ttle s ▁on ▁24 ▁hr s ▁per ▁day .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB PART PART PROPN PROPN PROPN PRON PRON PRON PROPN PROPN VERB PRON PART PART PRON VERB PART VERB ADP PRON VERB VERB VERB ADP NUM NOUN NOUN ADP NOUN NOUN
Knock it off.	1 1 1	knock it off	figurative	case	VERB PRON PART	▁K nock ▁it ▁off .	1 1 1 1 1	VERB VERB PRON PART PART
and fellow members that will be down in Whitehall and eventually will put you to bed, if you bury your head in the sand and at the end of the day I 'm afraid the country is going to knock it off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	knock it off	figurative	identical	CCONJ ADJ NOUN ADJ VERB VERB ADV ADP PROPN CCONJ ADV VERB VERB PRON ADP NOUN ADP PRON VERB ADJ NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB ADJ DET NOUN VERB VERB PART VERB PRON PART	▁and ▁fellow ▁members ▁that ▁will ▁be ▁down ▁in ▁White hall ▁and ▁eventually ▁will ▁put ▁you ▁to ▁be d , ▁if ▁you ▁bur y ▁your ▁head ▁in ▁the ▁sand ▁and ▁at ▁the ▁end ▁of ▁the ▁day ▁I ▁' m ▁afraid ▁the ▁country ▁is ▁going ▁to ▁knock ▁it ▁off .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ ADJ NOUN ADJ VERB VERB ADV ADP PROPN PROPN CCONJ ADV VERB VERB PRON ADP NOUN NOUN NOUN ADP PRON VERB VERB ADJ NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB ADJ DET NOUN VERB VERB PART VERB PRON PART PART
There has been a balance Chair, and, and hence the fact that we 've knocked it off as an efficiency saving rather than as a reduction in service.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	knock it off	figurative	inflection	ADV VERB VERB DET NOUN PROPN CCONJ CCONJ ADV DET NOUN ADP PRON VERB VERB PRON PART ADP DET NOUN NOUN ADV ADP ADP DET NOUN ADP NOUN	▁There ▁has ▁been ▁a ▁balance ▁Chair , ▁and , ▁and ▁hence ▁the ▁fact ▁that ▁we ▁' ve ▁knock ed ▁it ▁off ▁as ▁an ▁efficiency ▁saving ▁rather ▁than ▁as ▁a ▁reduction ▁in ▁service .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB VERB DET NOUN PROPN PROPN CCONJ CCONJ CCONJ ADV DET NOUN ADP PRON VERB VERB VERB VERB PRON PART ADP DET NOUN NOUN ADV ADP ADP DET NOUN ADP NOUN NOUN
On the boat was an old couple and approaching the bridge he got off and left his wife in charge of the boat, He also attempted to open the bridge the wrong way and once again the boat hit the bridge and knocked it off its hinges.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	knock it off	literal	inflection	ADP DET NOUN VERB DET ADJ NOUN CCONJ VERB DET NOUN PRON VERB PART CCONJ VERB ADJ NOUN ADP NOUN ADP DET NOUN PRON ADV VERB PART VERB DET NOUN DET ADJ NOUN CCONJ ADV ADV DET NOUN VERB DET NOUN CCONJ VERB PRON ADP ADJ NOUN	▁On ▁the ▁boat ▁was ▁an ▁old ▁couple ▁and ▁approaching ▁the ▁bridge ▁he ▁got ▁off ▁and ▁left ▁his ▁wife ▁in ▁charge ▁of ▁the ▁boat , ▁He ▁also ▁attempted ▁to ▁open ▁the ▁bridge ▁the ▁wrong ▁way ▁and ▁once ▁again ▁the ▁boat ▁hit ▁the ▁bridge ▁and ▁knock ed ▁it ▁off ▁its ▁hinge s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	ADP DET NOUN VERB DET ADJ NOUN CCONJ VERB DET NOUN PRON VERB PART CCONJ VERB ADJ NOUN ADP NOUN ADP DET NOUN NOUN PRON ADV VERB PART VERB DET NOUN DET ADJ NOUN CCONJ ADV ADV DET NOUN VERB DET NOUN CCONJ VERB VERB PRON ADP ADJ NOUN NOUN NOUN
Your daddy told you to knock it off now, if that goes over it's in the fire.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	knock it off	figurative	identical	ADJ NOUN VERB PRON PART VERB PRON PART ADV ADP DET VERB ADP PRON ADP DET NOUN	▁Your ▁da d dy ▁told ▁you ▁to ▁knock ▁it ▁off ▁now , ▁if ▁that ▁goes ▁over ▁it ' s ▁in ▁the ▁fire .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN NOUN VERB PRON PART VERB PRON PART ADV ADV ADP DET VERB ADP PRON PRON PRON ADP DET NOUN NOUN
Don't knock it off!	0 1 1 1	knock it off	figurative	identical	VERB VERB PRON PART	▁Don ' t ▁knock ▁it ▁off !	0 0 0 1 1 1 1	VERB VERB VERB VERB PRON PART PART
