‘ Are acts of God designed to show us just how mortal we really are?’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	act of god	figurative	inflection	PUNCT VERB NOUN ADP PROPN VERB PART VERB PRON ADV ADV ADJ PRON ADV VERB	▁ ‘ ▁Are ▁acts ▁of ▁God ▁designed ▁to ▁show ▁us ▁just ▁how ▁mortal ▁we ▁really ▁are ? ’	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT VERB NOUN ADP PROPN VERB PART VERB PRON ADV ADV ADJ PRON ADV VERB VERB VERB
He was sufficiently well - informed to be able to declare that it was a scandal that the town lacked any kind of orchestra, whereas Clara would have taken the lack of it as a simple act of God.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	act of god	figurative	identical	PRON VERB ADV ADV PUNCT VERB PART VERB ADJ PART VERB ADP PRON VERB DET NOUN ADP DET NOUN VERB DET NOUN ADP NOUN ADP PROPN VERB VERB VERB DET NOUN ADP PRON ADP DET ADJ NOUN ADP PROPN	▁He ▁was ▁sufficiently ▁well ▁- ▁informed ▁to ▁be ▁able ▁to ▁declare ▁that ▁it ▁was ▁a ▁scandal ▁that ▁the ▁town ▁lack ed ▁any ▁kind ▁of ▁orchestra , ▁whereas ▁Clar a ▁would ▁have ▁taken ▁the ▁lack ▁of ▁it ▁as ▁a ▁simple ▁act ▁of ▁God .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADV ADV PUNCT VERB PART VERB ADJ PART VERB ADP PRON VERB DET NOUN ADP DET NOUN VERB VERB DET NOUN ADP NOUN NOUN ADP PROPN PROPN VERB VERB VERB DET NOUN ADP PRON ADP DET ADJ NOUN ADP PROPN PROPN
Instead of the Roman damnum fatalis, the common law carved out exceptions for inherent defects or vices of the goods, shipper's contributory negligence, and acts of God or of the King's enemies.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	act of god	figurative	inflection	ADV ADP DET ADJ NOUN NOUN DET ADJ NOUN VERB PART NOUN ADP ADJ NOUN CCONJ NOUN ADP DET NOUN NOUN ADJ NOUN CCONJ NOUN ADP PROPN CCONJ ADP DET PROPN NOUN	▁Instead ▁of ▁the ▁Roman ▁dam n um ▁fatal is , ▁the ▁common ▁law ▁car ved ▁out ▁exceptions ▁for ▁inherent ▁defects ▁or ▁vices ▁of ▁the ▁goods , ▁ship per ' s ▁ contributory ▁negligence , ▁and ▁acts ▁of ▁God ▁or ▁of ▁the ▁King ' s ▁enemies .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	ADV ADP DET ADJ NOUN NOUN NOUN NOUN NOUN NOUN DET ADJ NOUN VERB VERB PART NOUN ADP ADJ NOUN CCONJ NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN ADJ ADJ NOUN NOUN CCONJ NOUN ADP PROPN CCONJ ADP DET PROPN PROPN PROPN NOUN NOUN
Moreover, as a result of the defences of act of God, act of a third party and statutory authority, the courts must investigate not only the reasonableness of the accumulation, but also the defendant's responsibility for its actual escape.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	act of god	figurative	identical	ADV ADP DET NOUN ADP DET NOUN ADP NOUN ADP PROPN NOUN ADP DET ADJ NOUN CCONJ ADJ NOUN DET NOUN VERB VERB ADV ADV DET NOUN ADP DET NOUN CCONJ ADV DET NOUN NOUN ADP ADJ ADJ NOUN	▁Moreover , ▁as ▁a ▁result ▁of ▁the ▁defence s ▁of ▁act ▁of ▁God , ▁act ▁of ▁a ▁third ▁party ▁and ▁statutory ▁authority , ▁the ▁courts ▁must ▁investigate ▁not ▁only ▁the ▁reasonable ness ▁of ▁the ▁accumulation , ▁but ▁also ▁the ▁defendant ' s ▁responsibility ▁for ▁its ▁actual ▁escape .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADP DET NOUN ADP DET NOUN NOUN ADP NOUN ADP PROPN PROPN NOUN ADP DET ADJ NOUN CCONJ ADJ NOUN NOUN DET NOUN VERB VERB ADV ADV DET NOUN NOUN ADP DET NOUN NOUN CCONJ ADV DET NOUN NOUN NOUN NOUN ADP ADJ ADJ NOUN NOUN
More generally, creation has always been understood as an act of God's grace, something He could perfectly well have chosen not to do, rather than some kind of necessary mechanism through which He ensured His own existence.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	act of god	figurative	identical	ADV ADV NOUN VERB ADV VERB VERB ADP DET NOUN ADP PROPN NOUN NOUN PRON VERB ADV ADV VERB VERB ADV PART VERB ADV ADP DET NOUN ADP ADJ NOUN ADP ADJ PRON VERB ADJ ADJ NOUN	▁More ▁generally , ▁creation ▁has ▁always ▁been ▁understood ▁as ▁an ▁act ▁of ▁God ' s ▁grace , ▁something ▁He ▁could ▁perfectly ▁well ▁have ▁chosen ▁not ▁to ▁do , ▁rather ▁than ▁some ▁kind ▁of ▁necessary ▁mechanism ▁through ▁which ▁He ▁ensured ▁His ▁own ▁existence .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV NOUN VERB ADV VERB VERB ADP DET NOUN ADP PROPN PROPN PROPN NOUN NOUN NOUN PRON VERB ADV ADV VERB VERB ADV PART VERB VERB ADV ADP DET NOUN ADP ADJ NOUN ADP ADJ PRON VERB ADJ ADJ NOUN NOUN
Conversion, which emphasises the human response, would be impossible without the accompanying initiative - taking and power - enabling act of God.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	act of god	figurative	identical	NOUN ADJ VERB DET ADJ NOUN VERB VERB ADJ ADP DET VERB NOUN PUNCT NOUN CCONJ NOUN PUNCT VERB NOUN ADP PROPN	▁Conversion , ▁which ▁emphasises ▁the ▁human ▁response , ▁would ▁be ▁impossible ▁without ▁the ▁accompanying ▁initiative ▁- ▁taking ▁and ▁power ▁- ▁enabling ▁act ▁of ▁God .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN NOUN ADJ VERB DET ADJ NOUN NOUN VERB VERB ADJ ADP DET VERB NOUN PUNCT NOUN CCONJ NOUN PUNCT VERB NOUN ADP PROPN PROPN
A factor which could be regarded as an act of God now intervened.	0 0 0 0 0 0 0 0 1 1 1 0 0	act of god	figurative	identical	DET NOUN ADJ VERB VERB VERB ADP DET NOUN ADP PROPN ADV VERB	▁A ▁factor ▁which ▁could ▁be ▁regarded ▁as ▁an ▁act ▁of ▁God ▁now ▁intervened .	0 0 0 0 0 0 0 0 1 1 1 0 0 0	DET NOUN ADJ VERB VERB VERB ADP DET NOUN ADP PROPN ADV VERB VERB
People should have a bit of a think : economic depression, mad - cow - disease, wars and plane - crashes were not acts of God ( force majeure ) but rather tragic consequences of human error.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	act of god	figurative	inflection	NOUN VERB VERB DET NOUN ADP DET NOUN PUNCT ADJ NOUN ADJ PUNCT NOUN PUNCT NOUN NOUN CCONJ NOUN PUNCT NOUN VERB ADV NOUN ADP PROPN PUNCT NOUN NOUN PUNCT CCONJ ADV ADJ NOUN ADP ADJ NOUN	▁People ▁should ▁have ▁a ▁bit ▁of ▁a ▁think ▁ : ▁economic ▁depression , ▁mad ▁- ▁cow ▁- ▁disease , ▁wars ▁and ▁plane ▁- ▁crash es ▁were ▁not ▁acts ▁of ▁God ▁( ▁force ▁majeure ▁ ) ▁but ▁rather ▁tragic ▁consequences ▁of ▁human ▁error .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB DET NOUN ADP DET NOUN PUNCT PUNCT ADJ NOUN NOUN ADJ PUNCT NOUN PUNCT NOUN NOUN NOUN CCONJ NOUN PUNCT NOUN NOUN VERB ADV NOUN ADP PROPN PUNCT NOUN NOUN PUNCT PUNCT CCONJ ADV ADJ NOUN ADP ADJ NOUN NOUN
But it is only when we see conversion as a miraculous, radical and gracious act of God, that there is an adequate basis and motivation for church growth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	act of god	figurative	identical	CCONJ PRON VERB ADV ADV PRON VERB NOUN ADP DET ADJ ADJ CCONJ ADJ NOUN ADP PROPN ADP ADV VERB DET ADJ NOUN CCONJ NOUN ADP NOUN NOUN	▁But ▁it ▁is ▁only ▁when ▁we ▁see ▁conversion ▁as ▁a ▁m ira cul ous , ▁radical ▁and ▁g rac ious ▁act ▁of ▁God , ▁that ▁there ▁is ▁an ▁adequate ▁basis ▁and ▁motivation ▁for ▁church ▁growth .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB ADV ADV PRON VERB NOUN ADP DET ADJ ADJ ADJ ADJ ADJ ADJ CCONJ ADJ ADJ ADJ NOUN ADP PROPN PROPN ADP ADV VERB DET ADJ NOUN CCONJ NOUN ADP NOUN NOUN NOUN
Kingdom membership was only possible through an act of God.	0 0 0 0 0 0 0 1 1 1	act of god	figurative	identical	PROPN NOUN VERB ADV ADJ ADP DET NOUN ADP PROPN	▁Kingdom ▁membership ▁was ▁only ▁possible ▁through ▁an ▁act ▁of ▁God .	0 0 0 0 0 0 0 1 1 1 1	PROPN NOUN VERB ADV ADJ ADP DET NOUN ADP PROPN PROPN
The Privy Council accepted that the defences of act of God and act of third party prevent a plaintiff from succeeding in a claim based on the rule in Rylands v. Fletcher but held the defendants liable for negligence.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	act of god	figurative	identical	DET PROPN PROPN VERB ADP DET NOUN ADP NOUN ADP PROPN CCONJ NOUN ADP ADJ NOUN VERB DET NOUN ADP VERB ADP DET NOUN VERB ADP DET NOUN ADP PROPN CCONJ PROPN CCONJ VERB DET NOUN ADJ ADP NOUN	▁The ▁Pri vy ▁Council ▁accepted ▁that ▁the ▁defence s ▁of ▁act ▁of ▁God ▁and ▁act ▁of ▁third ▁party ▁prevent ▁a ▁plaintiff ▁from ▁succeeding ▁in ▁a ▁claim ▁based ▁on ▁the ▁rule ▁in ▁R y lands ▁v . ▁Fle t cher ▁but ▁held ▁the ▁defendant s ▁liable ▁for ▁negligence .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN VERB ADP DET NOUN NOUN ADP NOUN ADP PROPN CCONJ NOUN ADP ADJ NOUN VERB DET NOUN ADP VERB ADP DET NOUN VERB ADP DET NOUN ADP PROPN PROPN PROPN CCONJ CCONJ PROPN PROPN PROPN CCONJ VERB DET NOUN NOUN ADJ ADP NOUN NOUN
