That he was prepared to do so to retain his position was, in itself, a sign of changing times.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	sign of the times	figurative	determiner-broad	ADP PRON VERB ADJ PART VERB ADV PART VERB ADJ NOUN VERB ADP PRON DET NOUN ADP VERB NOUN	▁That ▁he ▁was ▁prepared ▁to ▁do ▁so ▁to ▁retain ▁his ▁position ▁was , ▁in ▁itself , ▁a ▁sign ▁of ▁changing ▁times .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADP PRON VERB ADJ PART VERB ADV PART VERB ADJ NOUN VERB VERB ADP PRON PRON DET NOUN ADP VERB NOUN NOUN
It was another sign of changing times when the British from 1967 began to embark upon more joint defence procurement programmes with the Europeans — notably the multinational collaborative effort which produced the Tornado fighter - bomber.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sign of the times	figurative	determiner-broad	PRON VERB DET NOUN ADP VERB NOUN ADV DET PROPN ADP NUM VERB PART VERB ADP ADJ ADJ NOUN NOUN NOUN ADP DET PROPN PUNCT ADV DET ADJ ADJ NOUN ADJ VERB DET PROPN NOUN PUNCT NOUN	▁It ▁was ▁another ▁sign ▁of ▁changing ▁times ▁when ▁the ▁British ▁from ▁1967 ▁began ▁to ▁embark ▁upon ▁more ▁joint ▁defence ▁procurement ▁programmes ▁with ▁the ▁European s ▁ — ▁notably ▁the ▁multinational ▁collaborative ▁effort ▁which ▁produced ▁the ▁To rn ado ▁fighter ▁- ▁bomb er .	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN ADP VERB NOUN ADV DET PROPN ADP NUM VERB PART VERB ADP ADJ ADJ NOUN NOUN NOUN ADP DET PROPN PROPN PUNCT PUNCT ADV DET ADJ ADJ NOUN ADJ VERB DET PROPN PROPN PROPN NOUN PUNCT NOUN NOUN NOUN
The break - up of the old world was seen as a sign of the last times.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	sign of the times	figurative	insertion-other	DET NOUN PUNCT NOUN ADP DET ADJ NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN	▁The ▁break ▁- ▁up ▁of ▁the ▁old ▁world ▁was ▁seen ▁as ▁a ▁sign ▁of ▁the ▁last ▁times .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1	DET NOUN PUNCT NOUN ADP DET ADJ NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN NOUN
His forehand was erratic, to say the least, and the frequency with which he ran round the once almost impenetrable backhand was another sign of the times.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	sign of the times	figurative	identical	ADJ NOUN VERB ADJ PART VERB DET ADJ CCONJ DET NOUN ADP ADJ PRON VERB ADV DET ADV ADV ADJ NOUN VERB DET NOUN ADP DET NOUN	▁His ▁for e hand ▁was ▁err atic , ▁to ▁say ▁the ▁least , ▁and ▁the ▁frequency ▁with ▁which ▁he ▁ran ▁round ▁the ▁once ▁almost ▁imp ene tr able ▁back hand ▁was ▁another ▁sign ▁of ▁the ▁times .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADJ NOUN NOUN NOUN VERB ADJ ADJ ADJ PART VERB DET ADJ ADJ CCONJ DET NOUN ADP ADJ PRON VERB ADV DET ADV ADV ADJ ADJ ADJ ADJ NOUN NOUN VERB DET NOUN ADP DET NOUN NOUN
It was a sign of the times.	0 0 0 1 1 0 1	sign of the times	figurative	identical	PRON VERB DET NOUN ADP DET NOUN	▁It ▁was ▁a ▁sign ▁of ▁the ▁times .	0 0 0 1 1 0 1 1	PRON VERB DET NOUN ADP DET NOUN NOUN
Dogs living longer, multi - dog households and buying two puppies instead of one are all signs of the times.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	sign of the times	figurative	inflection	NOUN VERB ADV ADJ PUNCT NOUN NOUN CCONJ VERB NUM NOUN ADV ADP NUM VERB DET NOUN ADP DET NOUN	▁Dogs ▁living ▁longer , ▁multi ▁- ▁dog ▁households ▁and ▁buying ▁two ▁p up pie s ▁instead ▁of ▁one ▁are ▁all ▁signs ▁of ▁the ▁times .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	NOUN VERB ADV ADV ADJ PUNCT NOUN NOUN CCONJ VERB NUM NOUN NOUN NOUN NOUN ADV ADP NUM VERB DET NOUN ADP DET NOUN NOUN
The attitude of the airport guard, and the careless banter of the cab driver were both a sign of the times and the rot which seemed to have set in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	sign of the times	figurative	identical	DET NOUN ADP DET NOUN NOUN CCONJ DET ADJ NOUN ADP DET NOUN NOUN VERB DET DET NOUN ADP DET NOUN CCONJ DET NOUN ADJ VERB PART VERB VERB PART	▁The ▁attitude ▁of ▁the ▁airport ▁guard , ▁and ▁the ▁care less ▁ban ter ▁of ▁the ▁cab ▁driver ▁were ▁both ▁a ▁sign ▁of ▁the ▁times ▁and ▁the ▁rot ▁which ▁seemed ▁to ▁have ▁set ▁in .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP DET NOUN NOUN NOUN CCONJ DET ADJ ADJ NOUN NOUN ADP DET NOUN NOUN VERB DET DET NOUN ADP DET NOUN CCONJ DET NOUN ADJ VERB PART VERB VERB PART PART
An interesting sign of the times was the Ladies ' request in 1937 to have a bar - hatch cut into the lounge, at their expense, but despite Mrs. J. Chalcraft and Miss Lorna Simmons attending a main Committee to put the case, their request was lost 7–3, although a referendum on the subject came close to being conducted.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sign of the times	figurative	identical	DET ADJ NOUN ADP DET NOUN VERB DET PROPN PART NOUN ADP NUM PART VERB DET NOUN PUNCT NOUN NOUN ADP DET NOUN ADP ADJ NOUN CCONJ ADP PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB DET ADJ PROPN PART VERB DET NOUN ADJ NOUN VERB VERB NUM ADP DET NOUN ADP DET NOUN VERB ADV ADP VERB VERB	▁An ▁interesting ▁sign ▁of ▁the ▁times ▁was ▁the ▁L adies ▁' ▁request ▁in ▁19 37 ▁to ▁have ▁a ▁bar ▁- ▁hatch ▁cut ▁into ▁the ▁lo ung e , ▁at ▁their ▁expense , ▁but ▁despite ▁Mrs . ▁J . ▁C hal craft ▁and ▁Miss ▁L or na ▁Sim mon s ▁attending ▁a ▁main ▁Committee ▁to ▁put ▁the ▁case , ▁their ▁request ▁was ▁lost ▁7 – 3, ▁although ▁a ▁referendum ▁on ▁the ▁subject ▁came ▁close ▁to ▁being ▁conducted .	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP DET NOUN VERB DET PROPN PROPN PART NOUN ADP NUM NUM PART VERB DET NOUN PUNCT NOUN NOUN ADP DET NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN CCONJ ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET ADJ PROPN PART VERB DET NOUN NOUN ADJ NOUN VERB VERB NUM NUM NUM ADP DET NOUN ADP DET NOUN VERB ADV ADP VERB VERB VERB
As a bad sign of liberated times, the opposition tried to call a press conference on the morning of Mr Baker's arrival, only to find it did not have official permission to do so.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sign of the times	figurative	determiner-broad	ADP DET ADJ NOUN ADP ADJ NOUN DET NOUN VERB PART VERB DET NOUN NOUN ADP DET NOUN ADP PROPN PROPN NOUN ADV PART VERB PRON VERB ADV VERB ADJ NOUN PART VERB ADV	▁As ▁a ▁bad ▁sign ▁of ▁liberate d ▁times , ▁the ▁opposition ▁tried ▁to ▁call ▁a ▁press ▁conference ▁on ▁the ▁morning ▁of ▁Mr ▁Baker ' s ▁arrival , ▁only ▁to ▁find ▁it ▁did ▁not ▁have ▁official ▁permission ▁to ▁do ▁so .	0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN ADP ADJ ADJ NOUN NOUN DET NOUN VERB PART VERB DET NOUN NOUN ADP DET NOUN ADP PROPN PROPN PROPN PROPN NOUN NOUN ADV PART VERB PRON VERB ADV VERB ADJ NOUN PART VERB ADV ADV
This is a real sign of the times and completely eclipses global fears about ecology or famine.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	sign of the times	figurative	identical	DET VERB DET ADJ NOUN ADP DET NOUN CCONJ ADV VERB ADJ NOUN ADP NOUN CCONJ NOUN	▁This ▁is ▁a ▁real ▁sign ▁of ▁the ▁times ▁and ▁completely ▁ec lip ses ▁global ▁fears ▁about ▁ecology ▁or ▁famine .	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB DET ADJ NOUN ADP DET NOUN CCONJ ADV VERB VERB VERB ADJ NOUN ADP NOUN CCONJ NOUN NOUN
And indeed it's a sign of the times that I speak not with a mitre metaphorically upon my head but perhaps the glengarry of the convenorship of the Central Council of ACTS and therefore I am in part your servant here.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sign of the times	figurative	identical	CCONJ ADV PRON DET NOUN ADP DET NOUN ADJ PRON VERB ADV ADP DET NOUN ADV ADP ADJ NOUN CCONJ ADV DET NOUN ADP DET NOUN ADP DET PROPN PROPN ADP PROPN CCONJ ADV PRON VERB ADP NOUN ADJ NOUN ADV	▁And ▁indeed ▁it ' s ▁a ▁sign ▁of ▁the ▁times ▁that ▁I ▁speak ▁not ▁with ▁a ▁mit re ▁met aph or ically ▁upon ▁my ▁head ▁but ▁perhaps ▁the ▁ gle ng arry ▁of ▁the ▁conven orship ▁of ▁the ▁Central ▁Council ▁of ▁ACT S ▁and ▁therefore ▁I ▁am ▁in ▁part ▁your ▁servant ▁here .	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV PRON PRON PRON DET NOUN ADP DET NOUN ADJ PRON VERB ADV ADP DET NOUN NOUN ADV ADV ADV ADV ADP ADJ NOUN CCONJ ADV DET NOUN NOUN NOUN NOUN ADP DET NOUN NOUN ADP DET PROPN PROPN ADP PROPN PROPN CCONJ ADV PRON VERB ADP NOUN ADJ NOUN ADV ADV
" Those who call this ' saving to destroy ' have not read the signs of the times correctly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	sign of the times	figurative	inflection	PUNCT DET NOUN VERB DET PUNCT NOUN PART VERB PUNCT VERB ADV VERB DET NOUN ADP DET NOUN ADV	▁" ▁T hose ▁who ▁call ▁this ▁' ▁saving ▁to ▁destroy ▁' ▁have ▁not ▁read ▁the ▁signs ▁of ▁the ▁times ▁correctly .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	PUNCT DET DET NOUN VERB DET PUNCT NOUN PART VERB PUNCT VERB ADV VERB DET NOUN ADP DET NOUN ADV ADV
Signs of the times include sections on ' Adding value to the audit ', ' Audit regulation ' and ' Controlling audit costs '.	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sign of the times	figurative	combined-inflection	NOUN ADP DET NOUN VERB NOUN ADP PUNCT VERB NOUN ADP DET NOUN PUNCT PUNCT PROPN NOUN PUNCT CCONJ PUNCT NOUN NOUN NOUN PUNCT	▁Signs ▁of ▁the ▁times ▁include ▁sections ▁on ▁' ▁Add ing ▁value ▁to ▁the ▁audit ▁' , ▁' ▁Audit ▁regulation ▁' ▁and ▁' ▁Controll ing ▁audit ▁costs ▁' .	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN ADP DET NOUN VERB NOUN ADP PUNCT VERB VERB NOUN ADP DET NOUN PUNCT PUNCT PUNCT PROPN NOUN PUNCT CCONJ PUNCT NOUN NOUN NOUN NOUN PUNCT PUNCT
No, the bad cover is always a committee cock - up, a sign of its times, or at the very least, one that got away …	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	sign of the times	figurative	determiner-broad	INTJ DET ADJ NOUN VERB ADV DET NOUN NOUN PUNCT PART DET NOUN ADP ADJ NOUN CCONJ ADP DET ADV ADJ NOUN ADJ VERB ADV PUNCT	▁No , ▁the ▁bad ▁cover ▁is ▁always ▁a ▁committee ▁ cock ▁- ▁up , ▁a ▁sign ▁of ▁its ▁times , ▁or ▁at ▁the ▁very ▁least , ▁one ▁that ▁got ▁away ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ DET ADJ NOUN VERB ADV DET NOUN NOUN NOUN PUNCT PART PART DET NOUN ADP ADJ NOUN NOUN CCONJ ADP DET ADV ADJ ADJ NOUN ADJ VERB ADV PUNCT
