They have to promote themselves now just as they 've got to get bums on seats as they say.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	bums on seats	figurative	identical	PRON VERB PART VERB PRON ADV ADV ADP PRON VERB VERB PART VERB NOUN ADP NOUN ADP PRON VERB	▁They ▁have ▁to ▁promote ▁themselves ▁now ▁just ▁as ▁they ▁' ve ▁got ▁to ▁get ▁bu ms ▁on ▁seats ▁as ▁they ▁say .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	PRON VERB PART VERB PRON ADV ADV ADP PRON VERB VERB VERB PART VERB NOUN NOUN ADP NOUN ADP PRON VERB VERB
Well they 've got to get bums on seats you see.	0 0 0 0 0 0 1 1 1 0 0	bums on seats	figurative	identical	INTJ PRON VERB VERB PART VERB NOUN ADP NOUN PRON VERB	▁Well ▁they ▁' ve ▁got ▁to ▁get ▁bu ms ▁on ▁seats ▁you ▁see .	0 0 0 0 0 0 0 1 1 1 1 0 0 0	INTJ PRON VERB VERB VERB PART VERB NOUN NOUN ADP NOUN PRON VERB VERB
He only knows about money, Arts Council grants, stuffy councillors going on about ‘ bums on seats’.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	bums on seats	figurative	dashes	PRON ADV VERB ADP NOUN PROPN PROPN NOUN ADJ NOUN VERB PART ADP ADJ NOUN ADP PUNCT	▁He ▁only ▁knows ▁about ▁money , ▁Art s ▁Council ▁grants , ▁stuff y ▁councillor s ▁going ▁on ▁about ▁ ‘ ▁bu ms ▁on ▁seats ’ . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	PRON ADV VERB ADP NOUN NOUN PROPN PROPN PROPN NOUN NOUN ADJ ADJ NOUN NOUN VERB PART ADP ADJ ADJ NOUN NOUN ADP PUNCT PUNCT PUNCT PUNCT
And they are used to get bums on seats.	0 0 0 0 0 0 1 1 1	bums on seats	figurative	identical	CCONJ PRON VERB VERB PART VERB NOUN ADP NOUN	▁And ▁they ▁are ▁used ▁to ▁get ▁bu ms ▁on ▁seats .	0 0 0 0 0 0 1 1 1 1 1	CCONJ PRON VERB VERB PART VERB NOUN NOUN ADP NOUN NOUN
Talking about bums on seats here.	0 0 1 1 1 0	bums on seats	figurative	identical	VERB ADP NOUN ADP NOUN ADV	▁Talk ing ▁about ▁bu ms ▁on ▁seats ▁here .	0 0 0 1 1 1 1 0 0	VERB VERB ADP NOUN NOUN ADP NOUN ADV ADV
Norman heard him out then said : ‘ You don't put bums on seats.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	bums on seats	figurative	identical	PROPN VERB PRON PART ADV VERB PUNCT PUNCT PRON VERB VERB NOUN ADP NOUN	▁Norman ▁heard ▁him ▁out ▁then ▁said ▁ : ▁ ‘ ▁You ▁don ' t ▁put ▁bu ms ▁on ▁seats .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PROPN VERB PRON PART ADV VERB PUNCT PUNCT PUNCT PUNCT PRON VERB VERB VERB VERB NOUN NOUN ADP NOUN NOUN
‘ Eric will put bums on seats, and he 'll get bums off their seats when he starts playing.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	bums on seats	figurative	identical	PUNCT PROPN VERB VERB NOUN ADP NOUN CCONJ PRON VERB VERB NOUN ADP ADJ NOUN ADV PRON VERB VERB	▁ ‘ ▁E ric ▁will ▁put ▁bu ms ▁on ▁seats , ▁and ▁he ▁' ll ▁get ▁bu ms ▁off ▁their ▁seats ▁when ▁he ▁starts ▁playing .	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PROPN PROPN VERB VERB NOUN NOUN ADP NOUN NOUN CCONJ PRON VERB VERB VERB NOUN NOUN ADP ADJ NOUN ADV PRON VERB VERB VERB
I would like to know why this policy is that er that you didn't consider this a venue of body building to be suitable if it's not erm it's gon na put bums on seats and generate income to towards the trust why not?.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	bums on seats	figurative	identical	PRON VERB VERB PART VERB ADV DET NOUN VERB ADP INTJ ADP PRON VERB VERB DET DET NOUN ADP NOUN NOUN PART VERB ADJ ADP PRON ADV NOUN PRON VERB PART VERB NOUN ADP NOUN CCONJ VERB NOUN ADP ADP DET NOUN ADV ADV	▁I ▁would ▁like ▁to ▁know ▁why ▁this ▁policy ▁is ▁that ▁er ▁that ▁you ▁did n ' t ▁consider ▁this ▁a ▁venue ▁of ▁body ▁building ▁to ▁be ▁suitable ▁if ▁it ' s ▁not ▁er m ▁it ' s ▁ gon ▁na ▁put ▁bu ms ▁on ▁seats ▁and ▁generate ▁income ▁to ▁towards ▁the ▁trust ▁why ▁not ? .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PART VERB ADV DET NOUN VERB ADP INTJ ADP PRON VERB VERB VERB VERB VERB DET DET NOUN ADP NOUN NOUN PART VERB ADJ ADP PRON PRON PRON ADV NOUN NOUN PRON PRON PRON VERB VERB PART VERB NOUN NOUN ADP NOUN CCONJ VERB NOUN ADP ADP DET NOUN ADV ADV ADV ADV
Said Brady : ‘ He is the type of player who will put bums on seats.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	bums on seats	figurative	identical	PROPN PROPN PUNCT PUNCT PRON VERB DET NOUN ADP NOUN NOUN VERB VERB NOUN ADP NOUN	▁S aid ▁Bra dy ▁ : ▁ ‘ ▁He ▁is ▁the ▁type ▁of ▁player ▁who ▁will ▁put ▁bu ms ▁on ▁seats .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PROPN PROPN PROPN PROPN PUNCT PUNCT PUNCT PUNCT PRON VERB DET NOUN ADP NOUN NOUN VERB VERB NOUN NOUN ADP NOUN NOUN
Unfortunately with got to get some of those people who don't want to come and it's all about bums on seats it's the old old saying bums on seats we 've got to get an answer how we don't get to these here at the moment in the audience whether they are people who want to get bums on seats or how they know how to do it perhaps they should have a meeting like this every month I 've never seen so many of.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bums on seats	figurative	identical	ADV ADP VERB PART VERB DET ADP DET NOUN NOUN VERB VERB PART VERB CCONJ PRON ADV ADP NOUN ADP NOUN PRON DET ADJ ADJ VERB NOUN ADP NOUN PRON VERB VERB PART VERB DET NOUN ADV PRON VERB VERB ADP DET ADV ADP DET NOUN ADP DET NOUN ADP PRON VERB NOUN NOUN VERB PART VERB NOUN ADP NOUN CCONJ ADV PRON VERB ADV PART VERB PRON ADV PRON VERB VERB DET NOUN ADP DET DET NOUN PRON VERB ADV VERB ADV ADJ ADP	▁Unfortunately ▁with ▁got ▁to ▁get ▁some ▁of ▁those ▁people ▁who ▁don ' t ▁want ▁to ▁come ▁and ▁it ' s ▁all ▁about ▁bu ms ▁on ▁seats ▁it ' s ▁the ▁old ▁old ▁saying ▁bu ms ▁on ▁seats ▁we ▁' ve ▁got ▁to ▁get ▁an ▁answer ▁how ▁we ▁don ' t ▁get ▁to ▁these ▁here ▁at ▁the ▁moment ▁in ▁the ▁audience ▁whether ▁they ▁are ▁people ▁who ▁want ▁to ▁get ▁bu ms ▁on ▁seats ▁or ▁how ▁they ▁know ▁how ▁to ▁do ▁it ▁perhaps ▁they ▁should ▁have ▁a ▁meeting ▁like ▁this ▁every ▁month ▁I ▁' ve ▁never ▁seen ▁so ▁many ▁of .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP VERB PART VERB DET ADP DET NOUN NOUN VERB VERB VERB VERB PART VERB CCONJ PRON PRON PRON ADV ADP NOUN NOUN ADP NOUN PRON PRON PRON DET ADJ ADJ VERB NOUN NOUN ADP NOUN PRON VERB VERB VERB PART VERB DET NOUN ADV PRON VERB VERB VERB VERB ADP DET ADV ADP DET NOUN ADP DET NOUN ADP PRON VERB NOUN NOUN VERB PART VERB NOUN NOUN ADP NOUN CCONJ ADV PRON VERB ADV PART VERB PRON ADV PRON VERB VERB DET NOUN ADP DET DET NOUN PRON VERB VERB ADV VERB ADV ADJ ADP ADP
