People around here have taken it up with different parties but everyone seems to pass the buck.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	pass the buck	figurative	identical	NOUN ADV ADV VERB VERB PRON PART ADP ADJ NOUN CCONJ NOUN VERB PART VERB DET NOUN	▁People ▁around ▁here ▁have ▁taken ▁it ▁up ▁with ▁different ▁parties ▁but ▁everyone ▁seems ▁to ▁pass ▁the ▁buck .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN ADV ADV VERB VERB PRON PART ADP ADJ NOUN CCONJ NOUN VERB PART VERB DET NOUN NOUN
Passing the buck	1 0 1	pass the buck	figurative	combined-inflection	VERB DET NOUN	▁Pass ing ▁the ▁buck	1 1 0 1	VERB VERB DET NOUN
honesty and a reduction in passing the buck	0 0 0 0 0 1 0 1	pass the buck	figurative	inflection	NOUN CCONJ DET NOUN ADP VERB DET NOUN	▁honesty ▁and ▁a ▁reduction ▁in ▁passing ▁the ▁buck	0 0 0 0 0 1 0 1	NOUN CCONJ DET NOUN ADP VERB DET NOUN
We were in the happy position of being able to pass the buck.	0 0 0 0 0 0 0 0 0 0 1 0 1	pass the buck	figurative	identical	PRON VERB ADP DET ADJ NOUN ADP VERB ADJ PART VERB DET NOUN	▁We ▁were ▁in ▁the ▁happy ▁position ▁of ▁being ▁able ▁to ▁pass ▁the ▁buck .	0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADP DET ADJ NOUN ADP VERB ADJ PART VERB DET NOUN NOUN
The buck of decision is being passed down the chain of consequence.	0 1 0 0 0 0 1 0 0 0 0 0	pass the buck	figurative	misc	DET NOUN ADP NOUN VERB VERB VERB PART DET NOUN ADP NOUN	▁The ▁buck ▁of ▁decision ▁is ▁being ▁passed ▁down ▁the ▁chain ▁of ▁consequence .	0 1 0 0 0 0 1 0 0 0 0 0 0	DET NOUN ADP NOUN VERB VERB VERB PART DET NOUN ADP NOUN NOUN
There is frequently a tendency to ‘ pass the buck’.	0 0 0 0 0 0 0 1 0 1	pass the buck	figurative	dashes	ADV VERB ADV DET NOUN ADP PUNCT VERB DET NOUN	▁There ▁is ▁frequently ▁a ▁tendency ▁to ▁ ‘ ▁pass ▁the ▁buck ’ .	0 0 0 0 0 0 0 0 1 0 1 1 1	ADV VERB ADV DET NOUN ADP PUNCT PUNCT VERB DET NOUN NOUN NOUN
But it seems to me like it's passing the buck a bit in the way they 're just sort of taking responsibility	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	pass the buck	figurative	inflection	CCONJ PRON VERB ADP PRON ADP PRON VERB DET NOUN DET NOUN ADP DET NOUN PRON VERB ADV ADV ADV VERB NOUN	▁But ▁it ▁seems ▁to ▁me ▁like ▁it ' s ▁passing ▁the ▁buck ▁a ▁bit ▁in ▁the ▁way ▁they ▁' re ▁just ▁sort ▁of ▁taking ▁responsibility	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB ADP PRON ADP PRON PRON PRON VERB DET NOUN DET NOUN ADP DET NOUN PRON VERB VERB ADV ADV ADV VERB NOUN
And if parents try to pass the buck by instructing childminders to ‘ give them the odd slap’ they will be disappointed.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pass the buck	figurative	identical	CCONJ ADP NOUN VERB PART VERB DET NOUN ADP VERB NOUN PART PUNCT VERB PRON DET ADJ NOUN PRON VERB VERB VERB	▁And ▁if ▁parents ▁try ▁to ▁pass ▁the ▁buck ▁by ▁instruct ing ▁child m inder s ▁to ▁ ‘ ▁give ▁them ▁the ▁odd ▁s lap ’ ▁they ▁will ▁be ▁disappointed .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP NOUN VERB PART VERB DET NOUN ADP VERB VERB NOUN NOUN NOUN NOUN PART PUNCT PUNCT VERB PRON DET ADJ NOUN NOUN NOUN PRON VERB VERB VERB VERB
The White House, not surprisingly, pointed to its tax legislation stalemate with Congress and quickly passed the buck to the Federal Reserve.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	pass the buck	figurative	inflection	DET PROPN PROPN ADV ADV VERB ADP ADJ NOUN NOUN VERB ADP PROPN CCONJ ADV VERB DET NOUN ADP DET PROPN PROPN	▁The ▁White ▁House , ▁not ▁surprising ly , ▁pointed ▁to ▁its ▁tax ▁legislation ▁sta lem ate ▁with ▁Congress ▁and ▁quickly ▁passed ▁the ▁buck ▁to ▁the ▁Federal ▁Reserve .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	DET PROPN PROPN PROPN ADV ADV ADV ADV VERB ADP ADJ NOUN NOUN VERB VERB VERB ADP PROPN CCONJ ADV VERB DET NOUN ADP DET PROPN PROPN PROPN
I think that everyone seems to pass the buck, I mean the parents think, oh they 'll learn it at school and the teachers think, oh co they should be learning it from their parents, and yo, you never learn it from anyone just from your friends.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pass the buck	figurative	identical	PRON VERB ADP NOUN VERB PART VERB DET NOUN PRON VERB DET NOUN VERB INTJ PRON VERB VERB PRON ADP NOUN CCONJ DET NOUN VERB INTJ VERB PRON VERB VERB VERB PRON ADP ADJ NOUN CCONJ INTJ PRON ADV VERB PRON ADP NOUN ADV ADP ADJ NOUN	▁I ▁think ▁that ▁everyone ▁seems ▁to ▁pass ▁the ▁buck , ▁I ▁mean ▁the ▁parents ▁think , ▁ oh ▁they ▁' ll ▁learn ▁it ▁at ▁school ▁and ▁the ▁teachers ▁think , ▁ oh ▁co ▁they ▁should ▁be ▁learning ▁it ▁from ▁their ▁parents , ▁and ▁ yo , ▁you ▁never ▁learn ▁it ▁from ▁anyone ▁just ▁from ▁your ▁friends .	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP NOUN VERB PART VERB DET NOUN NOUN PRON VERB DET NOUN VERB VERB INTJ INTJ PRON VERB VERB VERB PRON ADP NOUN CCONJ DET NOUN VERB VERB INTJ INTJ VERB PRON VERB VERB VERB PRON ADP ADJ NOUN NOUN CCONJ INTJ INTJ INTJ PRON ADV VERB PRON ADP NOUN ADV ADP ADJ NOUN NOUN
These efforts did not stop protests in Congress and the media at the " free - handed " way in which the British had passed " the buck " across the Atlantic.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	pass the buck	figurative	combined-inflection	DET NOUN VERB ADV VERB NOUN ADP PROPN CCONJ DET NOUN ADP DET PUNCT ADJ PUNCT ADJ PUNCT NOUN ADP ADJ DET PROPN VERB VERB PUNCT DET NOUN PUNCT ADP DET PROPN	▁These ▁efforts ▁did ▁not ▁stop ▁protest s ▁in ▁Congress ▁and ▁the ▁media ▁at ▁the ▁" ▁free ▁- ▁handed ▁" ▁way ▁in ▁which ▁the ▁British ▁had ▁passed ▁" ▁the ▁buck ▁" ▁across ▁the ▁Atlantic .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	DET NOUN VERB ADV VERB NOUN NOUN ADP PROPN CCONJ DET NOUN ADP DET PUNCT ADJ PUNCT ADJ PUNCT NOUN ADP ADJ DET PROPN VERB VERB PUNCT DET NOUN PUNCT ADP DET PROPN PROPN
