Anyway, all I can remember is something about turning the other cheek which I don't believe in.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	turn the other cheek	figurative	inflection	INTJ DET PRON VERB VERB VERB NOUN ADP VERB DET ADJ NOUN ADJ PRON VERB VERB ADP	▁Any way , ▁all ▁I ▁can ▁remember ▁is ▁something ▁about ▁turning ▁the ▁other ▁che ek ▁which ▁I ▁don ' t ▁believe ▁in .	0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0	INTJ INTJ INTJ DET PRON VERB VERB VERB NOUN ADP VERB DET ADJ NOUN NOUN ADJ PRON VERB VERB VERB VERB ADP ADP
Later Christian tradition has emphasised the image of a meek, lamb - like saviour, who eschews violence and bids one turn the other cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	turn the other cheek	figurative	identical	ADJ ADJ NOUN VERB VERB DET NOUN ADP DET ADJ NOUN PUNCT ADJ NOUN NOUN VERB NOUN CCONJ NOUN NUM VERB DET ADJ NOUN	▁Later ▁Christian ▁tradition ▁has ▁emphasised ▁the ▁image ▁of ▁a ▁me ek , ▁lamb ▁- ▁like ▁sa vi our , ▁who ▁e sche w s ▁violence ▁and ▁bids ▁one ▁turn ▁the ▁other ▁che ek .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	ADJ ADJ NOUN VERB VERB DET NOUN ADP DET ADJ ADJ ADJ NOUN PUNCT ADJ NOUN NOUN NOUN NOUN NOUN VERB VERB VERB VERB NOUN CCONJ NOUN NUM VERB DET ADJ NOUN NOUN NOUN
Having slugged back a glass of plum brandy, she says : ‘ I 'm a good Christian, but I 'll not turn the other cheek if some Albanian plucks out the eyes of a fellow Serb, or rapes a little girl, or castrates a 12-year - old Serbian boy …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn the other cheek	figurative	identical	VERB VERB PART DET NOUN ADP NOUN NOUN PRON VERB PUNCT PUNCT PRON VERB DET ADJ PROPN CCONJ PRON VERB ADV VERB DET ADJ NOUN ADP DET ADJ VERB PART DET NOUN ADP DET ADJ PROPN CCONJ VERB DET ADJ NOUN CCONJ VERB DET NUM PUNCT ADJ ADJ NOUN PUNCT	▁Having ▁slu gg ed ▁back ▁a ▁glass ▁of ▁plum ▁brand y , ▁she ▁says ▁ : ▁ ‘ ▁I ▁' m ▁a ▁good ▁Christian , ▁but ▁I ▁' ll ▁not ▁turn ▁the ▁other ▁che ek ▁if ▁some ▁Albanian ▁pluck s ▁out ▁the ▁eyes ▁of ▁a ▁fellow ▁Ser b , ▁or ▁rape s ▁a ▁little ▁girl , ▁or ▁cast rates ▁a ▁12- year ▁- ▁old ▁Serbian ▁boy ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB VERB PART DET NOUN ADP NOUN NOUN NOUN NOUN PRON VERB PUNCT PUNCT PUNCT PUNCT PRON VERB VERB DET ADJ PROPN PROPN CCONJ PRON VERB VERB ADV VERB DET ADJ NOUN NOUN ADP DET ADJ VERB VERB PART DET NOUN ADP DET ADJ PROPN PROPN PROPN CCONJ VERB VERB DET ADJ NOUN NOUN CCONJ VERB VERB DET NUM NUM PUNCT ADJ ADJ NOUN PUNCT
Turning the other cheek is the national pastime.	1 0 1 1 0 0 0 0	turn the other cheek	figurative	combined-inflection	VERB DET ADJ NOUN VERB DET ADJ NOUN	▁Turning ▁the ▁other ▁che ek ▁is ▁the ▁national ▁past ime .	1 0 1 1 1 0 0 0 0 0 0	VERB DET ADJ NOUN NOUN VERB DET ADJ NOUN NOUN NOUN
And since even a polygonal story should have at least two sides in all international farewell orgies, how about packing it in and having a bash at normal behaviour eh, so as to get bashed again as whipping boy despite my morseled - out attempts to break free or go shiating on, turning the other cheek to sheer cheek as sitting target for the unclear missiles of affreux dizzy acts or as wailing wall of blame beyond the demarcation line or bowstring frontier that will boomerang back and much joy may it give me. ( 102 )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn the other cheek	figurative	inflection	CCONJ ADP ADV DET ADJ NOUN VERB VERB ADV ADV NUM NOUN ADP DET ADJ NOUN NOUN ADV ADP VERB PRON ADV CCONJ VERB DET NOUN ADP ADJ NOUN INTJ ADP ADP PART VERB VERB ADV ADP VERB NOUN ADP ADJ VERB PUNCT PART NOUN PART VERB ADJ CCONJ VERB VERB ADP VERB DET ADJ NOUN ADP ADJ NOUN ADP VERB NOUN ADP DET ADJ NOUN ADP ADJ ADJ NOUN CCONJ ADP VERB NOUN ADP NOUN ADP DET NOUN NOUN CCONJ VERB NOUN ADJ VERB VERB ADV CCONJ ADJ NOUN VERB PRON VERB PRON PUNCT NUM PUNCT	▁And ▁since ▁even ▁a ▁poly gon al ▁story ▁should ▁have ▁at ▁least ▁two ▁sides ▁in ▁all ▁international ▁far e well ▁or g ies , ▁how ▁about ▁packing ▁it ▁in ▁and ▁having ▁a ▁bas h ▁at ▁normal ▁behaviour ▁ eh , ▁so ▁as ▁to ▁get ▁ba shed ▁again ▁as ▁wh ipping ▁boy ▁despite ▁my ▁mor sel ed ▁- ▁out ▁attempts ▁to ▁break ▁free ▁or ▁go ▁ shi ating ▁on , ▁turning ▁the ▁other ▁che ek ▁to ▁she er ▁che ek ▁as ▁sitting ▁target ▁for ▁the ▁unclear ▁missiles ▁of ▁a ffre ux ▁dizzy ▁acts ▁or ▁as ▁w ail ing ▁wall ▁of ▁blame ▁beyond ▁the ▁demarcation ▁line ▁or ▁bow str ing ▁frontier ▁that ▁will ▁boom er ang ▁back ▁and ▁much ▁joy ▁may ▁it ▁give ▁me . ▁( ▁102 ▁ )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP ADV DET ADJ ADJ ADJ NOUN VERB VERB ADV ADV NUM NOUN ADP DET ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN ADV ADP VERB PRON ADV CCONJ VERB DET NOUN NOUN ADP ADJ NOUN INTJ INTJ INTJ ADP ADP PART VERB VERB VERB ADV ADP VERB VERB NOUN ADP ADJ VERB VERB VERB PUNCT PART NOUN PART VERB ADJ CCONJ VERB VERB VERB VERB ADP ADP VERB DET ADJ NOUN NOUN ADP ADJ ADJ NOUN NOUN ADP VERB NOUN ADP DET ADJ NOUN ADP ADJ ADJ ADJ ADJ NOUN CCONJ ADP VERB VERB VERB NOUN ADP NOUN ADP DET NOUN NOUN CCONJ VERB VERB VERB NOUN ADJ VERB VERB VERB VERB ADV CCONJ ADJ NOUN VERB PRON VERB PRON PRON PUNCT NUM PUNCT PUNCT
" All right, " said I, " I turn the other cheek " and I did so.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	turn the other cheek	figurative	identical	PUNCT ADV ADV PUNCT VERB PRON PUNCT PRON VERB DET ADJ NOUN PUNCT CCONJ PRON VERB ADV	▁" ▁All ▁right , ▁" ▁said ▁I , ▁" ▁I ▁turn ▁the ▁other ▁che ek ▁" ▁and ▁I ▁did ▁so .	0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0	PUNCT ADV ADV ADV PUNCT VERB PRON PRON PUNCT PRON VERB DET ADJ NOUN NOUN PUNCT CCONJ PRON VERB ADV ADV
Turning the other cheek is not an option here — until the children begin to work through the logic and consequences of two wrongs making a …	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn the other cheek	figurative	combined-inflection	VERB DET ADJ NOUN VERB ADV DET NOUN ADV PUNCT ADP DET NOUN VERB PART VERB ADP DET NOUN CCONJ NOUN ADP NUM NOUN VERB DET PUNCT	▁Turning ▁the ▁other ▁che ek ▁is ▁not ▁an ▁option ▁here ▁ — ▁until ▁the ▁children ▁begin ▁to ▁work ▁through ▁the ▁logic ▁and ▁consequences ▁of ▁two ▁wrong s ▁making ▁a ▁...	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB DET ADJ NOUN NOUN VERB ADV DET NOUN ADV PUNCT PUNCT ADP DET NOUN VERB PART VERB ADP DET NOUN CCONJ NOUN ADP NUM NOUN NOUN VERB DET PUNCT
The price of turning the other cheek when passengers turn violent is 1,000 yen ( £ 4.30 ) per assault, up from 200 yen ( 86p ) two years ago.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn the other cheek	figurative	inflection	DET NOUN ADP VERB DET ADJ NOUN ADV NOUN VERB ADJ VERB NUM NOUN PUNCT SYM NUM PUNCT ADP NOUN ADV ADP NUM NOUN PUNCT NUM PUNCT NUM NOUN ADV	▁The ▁price ▁of ▁turning ▁the ▁other ▁che ek ▁when ▁passengers ▁turn ▁violent ▁is ▁1,000 ▁yen ▁( ▁£ ▁4 .30 ▁ ) ▁per ▁assault , ▁up ▁from ▁200 ▁yen ▁( ▁86 p ▁ ) ▁two ▁years ▁ago .	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP VERB DET ADJ NOUN NOUN ADV NOUN VERB ADJ VERB NUM NOUN PUNCT SYM NUM NUM PUNCT PUNCT ADP NOUN NOUN ADV ADP NUM NOUN PUNCT NUM NUM PUNCT PUNCT NUM NOUN ADV ADV
That's what turning the other cheek does for you.’	0 0 1 0 1 1 0 0 0	turn the other cheek	figurative	inflection	DET NOUN VERB DET ADJ NOUN VERB ADP NOUN	▁That ' s ▁what ▁turning ▁the ▁other ▁che ek ▁does ▁for ▁you . ’	0 0 0 0 1 0 1 1 1 0 0 0 0 0	DET DET DET NOUN VERB DET ADJ NOUN NOUN VERB ADP NOUN NOUN NOUN
I suppose you could argue that we should turn the other cheek, but that seems like tempting fate when dealing with a boxer.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	turn the other cheek	figurative	identical	PRON VERB PRON VERB VERB ADP PRON VERB VERB DET ADJ NOUN CCONJ DET VERB ADP ADJ NOUN ADV VERB ADP DET NOUN	▁I ▁suppose ▁you ▁could ▁argue ▁that ▁we ▁should ▁turn ▁the ▁other ▁che ek , ▁but ▁that ▁seems ▁like ▁tempt ing ▁fate ▁when ▁dealing ▁with ▁a ▁box er .	0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON VERB VERB ADP PRON VERB VERB DET ADJ NOUN NOUN NOUN CCONJ DET VERB ADP ADJ ADJ NOUN ADV VERB ADP DET NOUN NOUN NOUN
